chr	pos	strand
10	29102534	+
10	29105291	+
10	29146308	+
10	29287645	+
10	29463037	+
10	29513864	+
10	29711801	+
10	29712251	+
10	30018604	+
10	30071325	+
10	30119456	+
10	30198963	+
10	30436757	+
10	30600002	+
10	30614770	+
10	30771545	+
10	3083756	+
10	30849582	+
10	30931626	+
10	3103328	+
10	31083262	+
10	31250026	+
10	3164060	+
10	31737633	+
10	3211118	+
10	32674072	+
10	32805692	+
10	32929562	+
10	32929775	+
10	32936399	+
10	33131699	+
10	33272487	+
10	33315324	+
10	33403510	+
10	33799761	+
10	34338513	+
10	34641209	+
10	34738357	+
10	34742417	+
10	35039587	+
10	35272835	+
10	35420842	+
10	35458894	+
10	35459500	+
10	3569017	+
10	35899760	+
10	35925642	+
10	35995050	+
10	36028968	+
10	36031826	+
10	36235886	+
10	36376942	+
10	36407086	+
10	36411885	+
10	36543750	+
10	36593628	+
10	36759278	+
10	3678081	+
10	36831806	+
10	37052222	+
10	37185573	+
10	37207884	+
10	37878272	+
10	3790642	+
10	3813263	+
10	38310353	+
10	38376500	+
10	38401660	+
10	3852710	+
10	38551938	+
10	38561047	+
10	38564859	+
10	38774487	+
10	38814558	+
10	38872138	+
10	38881919	+
10	38908594	+
10	39051252	+
10	39060609	+
10	39094323	+
10	39098462	+
10	39120249	+
10	4137263	+
10	42395386	+
10	42398726	+
10	42465627	+
10	42527965	+
10	42531995	+
10	42654393	+
10	42797341	+
10	42874044	+
10	42959739	+
10	43618701	+
10	43677330	+
10	44245071	+
10	44599925	+
10	44607613	+
10	44717241	+
10	44717640	+
10	44901617	+
10	45185761	+
10	4526440	+
10	45367691	+
10	45754730	+
10	45823104	+
10	45864494	+
10	46072176	+
10	46074886	+
10	46108972	+
10	46121033	+
10	4634532	+
10	47102926	+
10	4796374	+
10	4818780	+
10	48419948	+
10	48704934	+
10	49436889	+
10	495806	+
10	49656169	+
10	5003754	+
10	50372878	+
10	50535865	+
10	5061311	+
10	51019661	+
10	51583733	+
10	51806491	+
10	52011762	+
10	52238801	+
10	5293312	+
10	5293460	+
10	52964281	+
10	53008907	+
10	53062956	+
10	53063101	+
10	53182338	+
10	53192465	+
10	53209405	+
10	53219543	+
10	53368698	+
10	53439528	+
10	53489931	+
10	5355774	+
10	53862422	+
10	53878784	+
10	53941238	+
10	5401232	+
10	54163758	+
10	54320910	+
10	54367102	+
10	54369122	+
10	54395997	+
10	54466935	+
10	5455072	+
10	54589552	+
10	54710207	+
10	54805963	+
10	55109892	+
10	55291416	+
10	55452828	+
10	5577540	+
10	5577738	+
10	55896769	+
10	55969970	+
10	55983293	+
10	56003579	+
10	56500916	+
10	56622041	+
10	56664651	+
10	56902366	+
10	57009628	+
10	57061396	+
10	57061533	+
10	57403177	+
10	57759686	+
10	57974625	+
10	58011828	+
10	58146669	+
10	58207542	+
10	58327362	+
10	58356601	+
10	58370661	+
10	58372192	+
10	58483853	+
10	5867040	+
10	58679633	+
10	58816141	+
10	58860552	+
10	58863578	+
10	59447173	+
10	59508891	+
10	59922329	+
10	60030817	+
10	60741807	+
10	60914465	+
10	6097869	+
10	60984912	+
10	61148598	+
10	61200572	+
10	6132848	+
10	61465971	+
10	61598643	+
10	61650710	+
10	61787067	+
10	61960374	+
10	6197161	+
10	62124847	+
10	6252313	+
10	6271120	+
10	6284560	+
10	6347361	+
10	63594263	+
10	6410241	+
10	6411610	+
10	64233368	+
10	64460001	+
10	64510890	+
10	64737328	+
10	65036872	+
10	65338801	+
10	65538140	+
10	65542834	+
10	65595112	+
10	6568087	+
10	65699345	+
10	65703401	+
10	66330462	+
10	66420444	+
10	66684460	+
10	66684531	+
10	66831656	+
10	66837062	+
10	6719191	+
10	67248736	+
10	67260458	+
10	67430993	+
10	68033174	+
10	68049075	+
10	68049106	+
10	68084658	+
10	68167042	+
10	68178131	+
10	68178245	+
10	68217403	+
10	68243993	+
10	68336764	+
10	68496837	+
10	6858535	+
10	68673040	+
10	6871348	+
10	68767795	+
10	68803685	+
10	68949339	+
10	68949447	+
10	68977598	+
10	68991452	+
10	69061841	+
10	69065087	+
10	69138289	+
10	69224882	+
10	69541684	+
10	69630373	+
10	69994897	+
10	70066578	+
10	70066584	+
10	70219120	+
10	70234954	+
10	70284126	+
10	70432268	+
10	70542256	+
10	70557255	+
10	70633460	+
10	70680523	+
10	70685917	+
10	70815434	+
10	70973327	+
10	71016004	+
10	71308741	+
10	71544372	+
10	71610168	+
10	71947393	+
10	72204539	+
10	7235121	+
10	7237622	+
10	72518887	+
10	72605418	+
10	72874544	+
10	73193535	+
10	73292481	+
10	73657786	+
10	73661993	+
10	73982210	+
10	74182689	+
10	74222797	+
10	74400313	+
10	74456637	+
10	74509715	+
10	74700242	+
10	7474585	+
10	74767506	+
10	74861149	+
10	74861795	+
10	75000245	+
10	75190666	+
10	75356188	+
10	75419907	+
10	75654363	+
10	75668321	+
10	75847285	+
10	76006995	+
10	76230341	+
10	76365296	+
10	76579105	+
10	76644675	+
10	76951149	+
10	77055944	+
10	77229058	+
10	78326329	+
10	78351483	+
10	78351578	+
10	78577575	+
10	78592126	+
10	78592313	+
10	78593029	+
10	78805713	+
10	78996161	+
10	79452560	+
10	80070069	+
10	80222687	+
10	8024988	+
10	80323546	+
10	80375091	+
10	80529019	+
10	80892549	+
10	80919368	+
10	8148436	+
10	81725370	+
10	81753907	+
10	81814997	+
10	82086144	+
10	82387405	+
10	82670425	+
10	82731980	+
10	82825083	+
10	82840106	+
10	82972200	+
10	83042762	+
10	83111793	+
10	83204805	+
10	8328884	+
10	83333097	+
10	83361264	+
10	83616580	+
10	8391337	+
10	83982381	+
10	84519073	+
10	84545535	+
10	8464047	+
10	84667140	+
10	84891189	+
10	84891868	+
10	85015980	+
10	85018035	+
10	85064600	+
10	85206598	+
10	85478401	+
10	85478507	+
10	85573083	+
10	85604327	+
10	85746038	+
10	85783452	+
10	85854361	+
10	85917677	+
10	85943102	+
10	85983251	+
10	86297452	+
10	86493298	+
10	86493809	+
10	86673960	+
10	87048557	+
10	87082820	+
10	87121362	+
10	87121432	+
10	87426248	+
10	87479797	+
10	87505368	+
10	87547051	+
10	87759319	+
10	87775997	+
10	87821425	+
10	8782308	+
10	87963299	+
10	88212819	+
10	88229007	+
10	88264416	+
10	88823421	+
10	88827234	+
10	89275812	+
10	89276569	+
10	89373674	+
10	89415438	+
10	89674535	+
10	89711929	+
10	8975215	+
10	89814968	+
10	89971554	+
10	90005752	+
10	90642769	+
10	90706777	+
10	90719048	+
10	90739938	+
10	91105436	+
10	91110076	+
10	91300737	+
10	91432916	+
10	91500056	+
10	91543496	+
10	9156844	+
10	9156866	+
10	91717279	+
10	91717598	+
10	91809925	+
10	92215064	+
10	92227504	+
10	92283738	+
10	92730834	+
10	92730894	+
10	93595424	+
10	9406731	+
10	94151937	+
10	94292479	+
10	94315968	+
10	94315974	+
10	94367957	+
10	94407868	+
10	9469831	+
10	94707813	+
10	94734312	+
10	9474851	+
10	94939648	+
10	94967433	+
10	95002503	+
10	9510988	+
10	9525634	+
10	95334377	+
10	96584703	+
10	96649547	+
10	96763980	+
10	96874956	+
10	96998775	+
10	97206796	+
10	97208026	+
10	97454086	+
10	97668530	+
10	97709376	+
10	98163351	+
10	98288637	+
10	98459585	+
10	98537453	+
10	98585191	+
10	98585316	+
10	98676093	+
10	98923285	+
10	9896384	+
10	9904400	+
10	99427889	+
10	99496300	+
10	99921720	+
1	10059894	+
1	100645527	+
1	100994216	+
1	101023619	+
1	101284769	+
1	101770060	+
1	101814586	+
1	101875206	+
1	101891096	+
1	101978979	+
1	101986973	+
1	102000826	+
1	102002100	+
1	102253632	+
1	102350001	+
1	102545056	+
1	102569001	+
1	102697023	+
1	102794868	+
1	102891424	+
1	102920537	+
1	103054493	+
1	103090441	+
1	103556034	+
1	103602834	+
1	103718761	+
1	10422512	+
1	104456315	+
1	104474052	+
1	104574478	+
1	104579241	+
1	104579529	+
1	104646033	+
1	105028214	+
1	105054077	+
1	105070238	+
1	105138646	+
1	105157845	+
1	105231107	+
1	105312928	+
1	10533748	+
1	105386179	+
1	105386480	+
1	10580227	+
1	105857762	+
1	105968014	+
1	106113956	+
1	106330922	+
1	106396405	+
1	106485359	+
1	1066814	+
1	106968890	+
1	106968972	+
1	10724778	+
1	107303895	+
1	10755982	+
1	107920724	+
1	108142473	+
1	108266159	+
1	108333292	+
1	108367499	+
1	108417633	+
1	108567558	+
1	108704090	+
1	108901190	+
1	109110840	+
1	109691500	+
11	100182144	+
11	100353616	+
11	100408558	+
11	10042331	+
11	10042435	+
11	100712182	+
11	100911786	+
11	100990105	+
11	101143881	+
11	101430649	+
11	101709722	+
11	101796439	+
11	102053322	+
11	102054485	+
11	102169763	+
11	102348319	+
11	102353563	+
11	102525475	+
11	102847109	+
11	102847180	+
11	10292745	+
11	10293836	+
11	103002009	+
11	103002014	+
1	110308544	+
1	11031142	+
11	103138813	+
11	103201273	+
11	103493108	+
11	103615512	+
11	103792594	+
11	103974184	+
11	103976597	+
11	104011200	+
11	104040178	+
11	104092015	+
11	104144741	+
11	104260553	+
1	11043103	+
11	104338781	+
11	10434694	+
11	104556065	+
11	104623579	+
11	104786594	+
1	110507535	+
11	105101089	+
11	105206779	+
11	105341542	+
11	105478994	+
11	105479182	+
11	105836044	+
11	105944006	+
11	106044573	+
11	106170474	+
11	10637487	+
11	106627153	+
11	106687116	+
11	106754508	+
11	106804649	+
11	107258270	+
11	10733388	+
11	107395157	+
11	107653187	+
11	107984092	+
11	108386189	+
11	108503362	+
11	108508473	+
11	108554979	+
11	108695766	+
11	108708817	+
11	10897407	+
11	109048060	+
11	109048291	+
11	109057025	+
11	10925603	+
11	109382436	+
11	109382479	+
1	110953138	+
11	109745796	+
11	109748909	+
11	109986488	+
11	110032900	+
11	110085844	+
11	110276930	+
11	110377654	+
11	110377762	+
11	110377880	+
11	110394541	+
11	110567773	+
11	111082407	+
11	111175274	+
11	1112673	+
11	111305436	+
11	111460417	+
11	111616929	+
11	111671049	+
11	111906528	+
11	111975824	+
11	112059662	+
11	112084590	+
11	112618149	+
11	11280142	+
11	11282710	+
1	111295490	+
11	113540159	+
11	113713389	+
11	113806180	+
11	113811021	+
11	113995272	+
11	114686169	+
11	114702683	+
11	114895509	+
11	114895676	+
11	114895734	+
11	114913931	+
11	115209461	+
11	115209623	+
11	115221667	+
11	115243068	+
1	111526302	+
11	115308123	+
11	115308338	+
11	115674040	+
11	115866279	+
11	116121012	+
11	116431245	+
11	116505154	+
1	111666425	+
11	116845971	+
11	116865623	+
11	116892645	+
11	117020153	+
11	11716482	+
11	117195201	+
11	117794843	+
11	117987447	+
1	111802594	+
11	11807848	+
11	11810742	+
11	118292474	+
11	118292760	+
11	118293090	+
11	118539002	+
11	118814655	+
11	118854270	+
11	118877069	+
11	118880156	+
1	111896175	+
11	119124252	+
11	119327945	+
11	119329509	+
11	11948517	+
11	119497914	+
11	11961575	+
1	112007820	+
11	120212025	+
11	120291062	+
11	120318242	+
1	112032276	+
11	120348079	+
11	120370880	+
11	120484742	+
1	112096432	+
1	112103102	+
11	121131527	+
1	112123683	+
11	121692054	+
1	112182036	+
11	121925859	+
1	1122231	+
11	122277632	+
11	122300403	+
11	122349282	+
11	122429662	+
11	122442992	+
11	122663074	+
11	122772838	+
11	123015652	+
11	123241837	+
11	12336199	+
11	123605475	+
11	123618328	+
11	123833069	+
11	124069995	+
11	124227007	+
11	124280039	+
11	124326171	+
11	124418642	+
11	124529545	+
11	124840904	+
11	12529678	+
11	125412499	+
11	125487047	+
11	125735911	+
11	126245775	+
11	126261215	+
11	126598066	+
11	126903180	+
11	126915320	+
11	126941125	+
11	127247455	+
1	112736001	+
11	127496640	+
11	127586306	+
1	112780653	+
11	127810167	+
11	127832185	+
11	127832229	+
11	127953038	+
11	127975723	+
11	127979289	+
11	127983098	+
11	127997831	+
11	128001663	+
11	128056631	+
11	128141113	+
11	128367694	+
11	128367822	+
1	112842431	+
11	128634954	+
11	128916256	+
11	128997473	+
11	129029290	+
11	129033242	+
11	129303345	+
11	129447941	+
11	129459699	+
11	129459759	+
11	129472775	+
11	129505201	+
11	129505211	+
11	129531023	+
11	129759549	+
11	129759893	+
11	129864152	+
11	129907506	+
1	112992002	+
1	11299554	+
11	130023864	+
11	130170969	+
11	130308118	+
11	130610314	+
11	130675917	+
11	130758617	+
11	130840553	+
1	1130889	+
11	131014012	+
1	113107870	+
11	131178161	+
11	131220989	+
11	131294482	+
11	131313934	+
11	131439505	+
11	131510930	+
1	113179217	+
11	132018041	+
11	132018048	+
11	132205623	+
11	132398113	+
11	132682319	+
11	133023064	+
11	133055526	+
1	113348524	+
11	133609283	+
11	133925385	+
11	134305268	+
11	134305342	+
11	134305646	+
11	134328702	+
11	134343946	+
1	113440221	+
11	134659548	+
1	113477302	+
11	13507429	+
1	113532196	+
11	13764490	+
11	13813026	+
11	13848880	+
11	13849183	+
1	113888368	+
1	113888698	+
1	113889049	+
11	13944130	+
11	13957822	+
1	114045809	+
1	114046370	+
1	11405058	+
11	14065485	+
1	114088533	+
11	14156180	+
11	14225836	+
1	114280772	+
11	14500019	+
11	14647686	+
1	114742473	+
11	14863260	+
1	1149273	+
1	114976882	+
1	115043829	+
11	15138826	+
1	115174999	+
1	115332641	+
11	15380299	+
11	15507471	+
1	115534887	+
11	1558895	+
11	1559160	+
1	115598932	+
11	15902104	+
11	15995803	+
11	15995925	+
11	16019985	+
1	116084510	+
11	1620309	+
1	116281741	+
1	116548018	+
11	16587201	+
11	16718530	+
1	116980795	+
1	116980827	+
1	116983565	+
1	117002117	+
11	17049746	+
11	17133386	+
11	17196153	+
11	17236121	+
11	1725140	+
1	117262311	+
11	17310464	+
11	17599259	+
1	11770985	+
11	17782586	+
11	18280217	+
11	18290372	+
1	11830214	+
1	118378432	+
1	118379682	+
11	18398761	+
11	18478347	+
11	18572956	+
11	18722224	+
1	118805682	+
1	118829527	+
1	118829574	+
1	11887687	+
11	18918566	+
1	11906978	+
1	119080698	+
11	19086512	+
1	119150068	+
1	119159954	+
1	119238704	+
1	119278957	+
11	19335407	+
11	19382767	+
1	119400928	+
1	119401056	+
1	119553459	+
11	19562278	+
11	19640463	+
11	19652293	+
11	19652498	+
11	19909957	+
11	19963001	+
11	20172685	+
1	120266555	+
1	12029166	+
11	20432540	+
11	2058343	+
1	12066278	+
11	20703886	+
1	121143300	+
11	21203703	+
1	121273707	+
1	121274083	+
1	121351960	+
1	121353656	+
1	121354774	+
1	121355799	+
1	121357210	+
1	121357530	+
11	21449808	+
1	121478328	+
1	121478451	+
1	121482160	+
1	121483950	+
1	121484711	+
1	121485210	+
11	21691571	+
11	21783164	+
11	21796905	+
11	21832883	+
11	21878476	+
11	2189358	+
11	22002625	+
11	22052841	+
11	22385417	+
11	22412807	+
11	22433864	+
11	22954987	+
11	23270718	+
11	23358499	+
11	23435995	+
11	23522797	+
11	23644639	+
11	2396530	+
11	24093216	+
11	24279010	+
11	2435110	+
11	24355504	+
11	24359203	+
11	24393097	+
11	24450462	+
1	12445515	+
11	24516837	+
11	24564752	+
11	24732867	+
1	12475658	+
11	24792951	+
11	25069008	+
11	25123341	+
11	25140809	+
11	25240134	+
11	25452553	+
11	25605131	+
11	25653705	+
11	25803866	+
11	25828313	+
11	26128658	+
11	26132363	+
11	26145645	+
11	26159959	+
11	26167318	+
11	26191088	+
1	12625706	+
11	26418531	+
11	26601648	+
11	26627530	+
11	26744855	+
11	26833093	+
11	27025238	+
11	27039975	+
11	27078632	+
11	27128479	+
11	27308203	+
1	12737568	+
11	27456323	+
11	27593251	+
11	27628281	+
11	27707382	+
11	2787107	+
11	28184561	+
11	28287509	+
11	28483854	+
11	28492110	+
11	28740024	+
1	12875658	+
1	12875996	+
1	12876225	+
11	28798139	+
11	28998700	+
11	29002309	+
11	29007194	+
11	29012902	+
11	29164666	+
11	29184429	+
11	29309175	+
11	29463747	+
11	29485180	+
11	29485184	+
11	29579496	+
11	29686531	+
11	29714633	+
11	29874260	+
11	29929756	+
11	30136959	+
11	30180452	+
11	30180703	+
11	30760933	+
11	30987126	+
11	31059553	+
11	31337187	+
11	31337275	+
11	31426992	+
11	31603029	+
1	13180821	+
11	31811465	+
11	31850361	+
1	13188624	+
11	31952095	+
11	32192492	+
11	32388074	+
11	32390659	+
11	32434271	+
11	3267803	+
11	32721156	+
11	32892051	+
11	32923940	+
11	33170087	+
11	33197308	+
11	33235125	+
11	33273206	+
11	33273252	+
11	33624787	+
11	33670124	+
11	33670213	+
11	33675501	+
11	34070502	+
11	34083327	+
11	34299593	+
11	34397378	+
11	34708231	+
11	34727229	+
11	3478871	+
11	34802478	+
11	34989846	+
11	35052185	+
11	35221492	+
11	35221604	+
11	35425484	+
11	35504495	+
11	35625989	+
11	36189072	+
11	36277082	+
11	36336614	+
11	36340044	+
11	36435225	+
11	36509629	+
11	36558481	+
11	36573037	+
11	36573211	+
11	36751374	+
11	36992275	+
11	37326069	+
11	37383164	+
11	37443695	+
11	37448897	+
11	37544629	+
11	37611914	+
11	37666899	+
11	37706281	+
11	37806361	+
11	37811261	+
11	38327567	+
11	38327584	+
1	13854390	+
11	38801068	+
11	38812663	+
11	38877883	+
11	39001769	+
11	39225157	+
11	39542954	+
11	39844932	+
11	39929840	+
11	39980198	+
11	40494011	+
11	40578629	+
11	40727089	+
11	40798015	+
11	40841269	+
11	40841314	+
11	40841547	+
1	14093295	+
11	41096612	+
1	1413403	+
11	41385808	+
1	14163093	+
11	41711554	+
11	41822295	+
11	41822596	+
11	41826234	+
11	41831798	+
11	41869809	+
11	41991725	+
11	42055904	+
11	42077926	+
11	42376698	+
11	42379185	+
11	42450857	+
11	425439	+
1	142544848	+
11	425470	+
1	142547887	+
1	142600356	+
1	142616469	+
11	4262354	+
1	142645972	+
11	42653058	+
11	42663973	+
11	42740537	+
1	142782489	+
11	428021	+
11	42918513	+
1	142962099	+
11	43005307	+
1	143124800	+
11	43191337	+
11	43356946	+
1	143541869	+
11	43670574	+
11	43838999	+
11	43877444	+
11	43909517	+
11	4415929	+
1	14438242	+
11	44553004	+
1	144951018	+
1	145015085	+
1	145027053	+
1	145061906	+
1	145098249	+
11	45101678	+
1	145152727	+
1	145211316	+
1	145235312	+
11	45315251	+
11	45315418	+
1	14552604	+
11	4553497	+
11	45567981	+
1	14573632	+
1	14584402	+
1	14584565	+
11	46047034	+
11	46460663	+
1	146498094	+
1	146563506	+
11	46581981	+
11	46606105	+
1	146678399	+
11	46860119	+
1	146864123	+
1	146933634	+
1	147098505	+
11	47167605	+
11	47321166	+
11	47392917	+
11	47450641	+
11	47451080	+
11	4751214	+
11	47579107	+
11	47659920	+
11	47660101	+
11	47669875	+
11	47806643	+
11	47872387	+
11	48347614	+
11	48360520	+
11	48360670	+
11	48446833	+
11	48755872	+
11	48755976	+
11	48756138	+
11	48832913	+
11	48847329	+
11	48861400	+
11	48861834	+
11	48869291	+
11	48876280	+
11	48933117	+
11	48948747	+
11	49009533	+
11	49025353	+
1	149026819	+
1	14903286	+
11	4907955	+
11	49125660	+
1	149131681	+
1	149216670	+
1	149216797	+
1	149216928	+
11	49282677	+
1	149308416	+
1	149308656	+
1	149308781	+
11	49366209	+
11	49655817	+
11	49726159	+
11	49814759	+
11	49934165	+
1	149949769	+
1	149963507	+
11	50198488	+
1	150200130	+
1	150201681	+
1	150203910	+
11	50399967	+
1	150406067	+
1	150499024	+
11	50522128	+
1	150575294	+
1	150625746	+
11	50673018	+
11	50719153	+
11	50743613	+
11	50760200	+
11	50760565	+
11	50778045	+
1	150962724	+
11	51164571	+
11	51205936	+
1	151209303	+
1	151243633	+
11	5126954	+
11	5135409	+
1	151469057	+
11	51525351	+
11	51578807	+
1	152346120	+
11	5239606	+
1	152443818	+
1	152462319	+
11	5247055	+
1	152811640	+
1	153014553	+
1	153060770	+
1	153250710	+
1	153250978	+
11	5346609	+
1	153525743	+
1	153849883	+
1	153888171	+
1	154123764	+
1	154371728	+
11	5438645	+
1	154501299	+
1	154511331	+
1	154626953	+
11	54811379	+
11	54814977	+
1	15490127	+
11	54932189	+
11	54948791	+
11	54965594	+
11	54965848	+
1	154981047	+
11	55011014	+
11	55022660	+
11	55026467	+
11	55145525	+
11	55163998	+
11	55207510	+
1	155228121	+
1	155253101	+
11	55320500	+
11	55364522	+
11	55404815	+
11	55408892	+
11	55434498	+
11	55444019	+
11	55445861	+
11	55516501	+
11	55539492	+
1	155548124	+
11	55679577	+
11	55870751	+
1	155897630	+
1	155924395	+
11	55938990	+
1	155974414	+
11	56003137	+
11	56025152	+
1	156029992	+
11	56077876	+
1	156186753	+
11	56218470	+
1	156276619	+
11	56303353	+
11	56349624	+
11	56589473	+
11	56589484	+
11	56658967	+
1	156705347	+
1	156705573	+
11	56739592	+
11	56781497	+
1	156805176	+
1	156981957	+
11	57075186	+
1	157235737	+
1	157292637	+
1	157315517	+
1	157363495	+
1	157421365	+
11	57483076	+
1	157540654	+
1	157578172	+
1	157732948	+
11	57739673	+
11	57774116	+
11	57826791	+
11	57967334	+
11	57967341	+
11	579727	+
11	57985411	+
1	158001886	+
11	58158145	+
11	58165361	+
11	58171836	+
11	58171898	+
11	58181122	+
1	15822520	+
1	158238635	+
1	158238839	+
1	158238966	+
11	58282691	+
1	158371622	+
1	158372378	+
11	58381994	+
1	1584543	+
1	158488408	+
11	58512603	+
11	58570969	+
11	58587470	+
1	158630928	+
1	158696204	+
1	158725865	+
11	5885143	+
1	158853726	+
1	158919069	+
1	158998588	+
1	159114156	+
1	159183335	+
1	159502709	+
1	159544430	+
1	159574406	+
1	159603107	+
11	59815986	+
11	59816096	+
11	59816131	+
11	59816215	+
1	1598310	+
1	160047675	+
11	60136439	+
11	60293392	+
1	160360027	+
11	60364495	+
11	60449889	+
1	160500919	+
11	60556193	+
11	60629560	+
11	60758266	+
11	60758625	+
11	60790365	+
11	60851791	+
11	60853790	+
11	60853883	+
1	160986453	+
1	161000488	+
1	161005680	+
1	161009011	+
1	161114283	+
11	61145208	+
11	61158739	+
1	161350530	+
11	6144179	+
1	161698018	+
11	61750172	+
1	161801747	+
11	61890312	+
11	6193133	+
11	6194298	+
1	162015903	+
1	162080091	+
11	62189919	+
1	162237253	+
11	62260357	+
1	162263020	+
1	162497055	+
11	62551489	+
1	162610639	+
1	162690291	+
1	162706511	+
11	62860002	+
