chr	pos	strand	gene
2R	24493948	-	CG13590
2R	23140577	-	CG13544
3L	6234056	-	CG42714
X	19915281	-	CG45487
3L	6275787	+	CG43168
3L	9477038	+	Jarid2
3R	6078283	-	Or83c
2R	12185667	+	Cyp6g1
2L	8399021	+	CG13386
2R	15216207	+	CG11808
X	2274778	-	CG2918
X	2275068	-	CG2918
2R	13840053	+	CG6357
3R	25215188	-	CG13663
2L	19526686	+	CG10137
2L	8984872	-	CG13101
3R	8087359	+	CG7910
3R	8087252	+	CG7910
3R	22424929	-	pinta
3R	22424725	-	pinta
2L	2759677	-	HemK2
3L	12136967	+	Atg12
3R	9412293	-	Task7
2R	11249594	+	CG43112
2R	7539696	-	CG1598
2R	10821676	+	RpS15Ab
3L	12206022	-	Tsen54
X	2072413	+	Rtca
2R	24229795	-	CG30419
3L	12972359	-	CG10748
X	7734438	-	Pdp
X	7734651	-	Pdp
4	626031	-	mav
3L	233351	-	CG34453
X	8165708	-	Or7a
Y	3022289	+	FDY
3R	20304977	-	CG4367
2R	16225326	-	CG15706
2R	16230680	-	CG15706
2R	16230402	-	CG15706
2R	16226252	-	CG15706
3L	14049892	-	Neurl4
2R	23950647	+	fzr2
X	10158434	+	CG43902
X	15785583	-	Paf-AHalpha
3L	7312896	-	unc-13-4A
3L	20436209	-	mRpL15
3R	12456573	+	trus
2L	9436804	+	RpS28-like
2L	2999286	+	Ccdc85
2R	16998594	-	ste24c
3L	54751	-	CG43149
2R	22985334	-	CG32833
2R	14877786	+	Cyp6a19
2R	6719533	-	Zip42C.2
2R	6221040	+	bin3
2R	6214568	+	bin3
2R	6229516	+	bin3
3L	11648756	+	CG7339
3L	16927434	-	CG13023
2L	10506779	-	Myo31DF
3L	18139402	+	geko
2R	18615988	+	CG5327
3L	4365434	+	CG33514
3R	18983650	-	snRNP-U1-C
3L	22717728	+	CG32452
3R	26425105	-	CG6503
3R	26425102	-	CG6503
3R	9555785	+	CG8199
X	17830828	+	CG6398
3R	25216297	+	CG31106
2R	22071286	-	CG11475
2R	20618629	+	CG9945
2R	20618503	+	CG9945
2R	7409385	-	CG1701
3R	23948424	-	CG12268
3R	23948383	-	CG12268
3L	16171380	-	CG33795
2L	9540523	+	CG17855
X	2242138	+	fs(1)K10
3L	1831783	-	Cpr62Ba
3L	1828942	-	Cpr62Ba
X	16083232	+	CG8958
X	14882586	-	CG45065
2L	7021682	+	Pcp
3L	433906	-	CG13891
2R	7709873	+	CG1941
2R	7710453	+	CG1941
2L	1026897	-	CG4375
2R	9207124	-	CG8027
2R	22918790	-	CG30187
X	19475063	+	narya
3R	10045542	-	CG11722
2L	21486496	+	His1:CG33834
3R	24630075	-	Wsck
X	4650050	+	Cbp80
X	4650015	+	Cbp80
2R	18710865	-	Vps51
3R	13813109	+	tal-AA
2L	21526459	+	His1:CG33858
3L	19387580	+	ms(3)76Ba
3L	3335788	-	Drsl1
X	9319223	-	c12.1
3L	15535395	+	CrebA
3L	11715285	-	CG14132
2L	13849400	+	CG7968
2R	8465158	+	Mal-A6
X	6283575	-	CG11700
3R	22609485	+	CG13843
X	2608876	-	Smyd3
3L	21121653	+	CG43938
2L	19455678	+	CG10026
2L	19454865	+	CG10026
2L	19454256	+	CG10026
2R	9589050	+	CG1827
2L	21291974	+	Gr39a
3R	25281661	+	CG11892
3R	25281548	+	CG11892
2R	10875748	+	nclb
X	14242822	-	mRNA-cap
2R	14411572	-	CG17385
3L	4138996	-	Rop
3R	20648716	-	GluRIIE
3R	21107972	-	Sec15
2R	24031427	-	CG30172
2R	24031202	-	CG30172
3L	19264404	+	CG9666
3L	19263766	+	CG9666
2R	4014111	+	Haspin
3R	22745620	+	HP1c
3L	7450853	+	CG33278
2L	10976363	-	ATPsynG
2L	10976399	-	ATPsynG
3L	6132109	-	Cpr65Au
3R	24230035	-	Spase22-23
2R	10645427	-	Git
3L	8127818	-	Uba2
3L	8304059	-	CG7194
X	4322231	-	mRpL33
4	150764	+	CG32006
2R	18048108	+	CG34005
3R	9775121	+	topi
3R	27106184	-	CAH9
2L	2037265	-	lectin-22C
X	16897187	-	CG33252
2R	8267295	-	CG30375
3R	24807621	+	CG6980
2L	16727826	-	VhaSFD
3R	11128328	-	Ugt35C1
3R	11240991	-	scpr-B
3R	26056630	+	CG14543
2L	7223081	-	mEFG1
X	4530231	+	CG3556
2R	10066650	+	mRpL42
2R	10066783	+	mRpL42
3R	15481906	+	B9d1
3R	23958391	-	GluProRS
2R	23100478	-	RpL37b
3R	10872381	-	Fdh
2R	18686775	-	CG44433
X	11868893	-	Nrd1
X	13755406	-	Pdcd4
2R	8131431	+	Pabp2
3R	11581576	+	wkd
3R	11582927	+	wkd
3R	24273029	+	Orct2
3R	15837117	-	ND-23
3L	3106958	-	Cht7
2L	14774981	-	CG4650
3L	4141467	+	Akh
3L	11093193	-	JIL-1
3L	11091856	-	JIL-1
3R	16203371	+	CG31287
3L	20358512	+	CG5665
X	7734923	+	Rab39
X	14786237	-	Ag5r
X	14786551	-	Ag5r
X	20141010	+	CG34332
X	8606304	-	Caf1-180
2L	12172586	-	CG6583
3R	18188707	-	CG12321
3L	4381629	-	CG32240
2R	21347883	-	CG9822
3R	12395980	-	CG10097
3R	15486050	+	obe
X	17768569	+	unc-4
2L	563347	-	CG11835
2L	563819	-	CG11835
3R	9331885	-	CG16749
2R	16098948	+	mRpL34
3L	6914876	-	Prat2
3L	13016050	+	CG11267
3R	19942412	-	CG46042
X	3799150	+	HIP
3R	12467776	-	Hsp70Ba
2R	18684198	-	CG44435
2R	18681170	-	CG44435
3R	9586942	+	P58IPK
2L	11071027	+	CG14915
2L	825861	-	CG3862
2L	19913516	-	Victoria
2L	6950207	-	Gas41
2R	17670082	+	CG30109
3R	27487927	+	Gr98a
2R	16202884	-	Shark
3L	9733807	-	CG6749
2R	21669916	-	PIG-M
3R	17265278	+	CG44257
X	4131211	+	GlcAT-I
2L	11794086	-	CG14937
2L	10858536	+	Stam
2L	3023226	+	CG3542
2L	16738850	+	ChLD3
2R	24133989	+	Zfrp8
3L	15808322	+	CG6244
X	1012035	+	CG14631
X	2186855	+	CG17777
2L	8320328	+	strat
2L	16754336	+	yellow-b
2R	21791580	-	Loxl2
X	1940307	+	CG3587
2R	14373108	+	Obp50d
X	21028361	-	CG1532
3L	16261605	-	CG34247
3R	29151794	-	eIF2D
3L	21523186	+	CG7611
2L	8124329	+	CG8673
2L	18859248	-	CG10602
3R	27921089	-	CG12259
3L	21427790	+	CG33288
3L	8328583	+	CG34462
3R	30171207	-	CG31028
2R	11989131	+	CG8298
2R	7153642	-	Spn43Ab
3L	12533724	-	Tsf2
3R	6301804	+	Osi15
X	15472164	+	Alg14
2L	6960328	-	Atac1
3L	21565426	+	CG7634
3L	8202417	-	CG7366
2R	16347500	-	wcd
3R	18255487	-	Rpb4
2L	8082982	-	Mcr
2R	24526089	-	CG4612
2L	10510453	-	CG7384
3L	4500500	-	CG13720
3R	25112516	-	Nepl16
2L	21168349	-	CG43345
2L	21168581	-	CG43345
2L	6621700	-	DIP-iota
2R	9345349	+	Or45a
3L	22868243	-	EMC4
3L	14560764	-	Lk
2R	17719346	-	CG46315
2R	17717270	-	CG46315
2L	10002736	-	SoYb
3R	26876630	+	CG5500
X	14187253	+	CG12481
3R	11412590	+	Ranbp9
3R	11412522	+	Ranbp9
2R	18862078	-	Jheh3
X	3789969	+	HIP-R
X	3790042	+	HIP-R
2L	2129237	-	CG4259
2L	5268498	+	Cyp4ac3
3L	10089400	-	CG14160
2R	14270658	-	Sps1
2R	9148689	+	CG30345
X	9778742	+	CG1354
X	9778958	+	CG1354
3R	30742880	+	CG15543
3L	1694617	+	CG12011
3R	31101169	-	CG15553
3R	18659309	-	CG31224
2L	12966590	+	CG16800
3R	20581522	-	CG34008
3R	11958535	+	Hsp70Ab
3R	29868895	-	Zip99C
3R	29868071	-	Zip99C
3R	29866180	-	Zip99C
3R	29866534	-	Zip99C
3R	29867214	-	Zip99C
3R	29865512	-	Zip99C
3R	29867817	-	Zip99C
3R	10779569	+	Desi
2R	11410438	-	CG34054
X	18709865	+	Cyp308a1
2R	8940415	+	CG13748
2R	23366355	-	vir
3R	10261849	-	Sirt6
X	2203866	-	FarO
3L	13424168	-	CG33263
X	2275950	+	Vml
X	2275822	+	Vml
2L	13529975	+	CG33642
2L	10694103	-	CG17108
3L	589274	-	Kah
2L	5893896	-	Acp26Aa
3R	6696271	-	Ccp84Ac
3L	8755989	+	CG6576
3R	7420765	+	wa-cup
3R	18671679	+	CG31230
3R	25331203	-	CHKov2
2L	21514878	-	His4:CG33877
3L	19100355	-	Gem2
3L	19100363	-	Gem2
3L	16574645	+	mbf1
3L	16574436	+	mbf1
3R	14112166	-	CG14357
2R	24432733	-	Pgam5-2
3R	24947632	+	mah
X	17142990	-	mei-217
3R	5758997	-	Sec8
3R	5011031	-	plh
2L	21493423	+	His2A:CG33838
2R	24948378	-	CG2790
2L	6019402	-	H2.0
2L	8994391	+	CG17906
3L	21680050	+	CG11248
2R	4788642	-	CG12547
3R	25999851	+	E(spl)mgamma-HLH
2R	11371335	-	Tapdelta
2R	11371163	-	Tapdelta
2R	19395971	-	SdhA
2L	9254854	-	lectin-30A
X	11733895	-	inaF-A
X	21217878	+	CG32523
2L	10987420	-	piwi
3R	9334714	-	Aduk
2L	13374177	+	CG6565
2L	13374019	+	CG6565
3L	18603425	+	CG18234
2R	14363048	+	Tfb1
2R	14363094	+	Tfb1
2R	12375286	+	CG13159
3R	27292209	-	CG3348
2L	11936181	+	Or33b
X	6291245	-	Rpt4
2R	8627900	+	Gle1
3L	24537236	+	mRpS5
3L	24537363	+	mRpS5
3R	13038375	+	CG11668
2R	9061924	-	CG8197
3L	10879037	-	CG6418
3L	18185641	-	hid
2L	267505	-	CG17075
Y	702430	+	ARY
X	14775308	+	CG5334
2L	15852592	+	CG13243
2R	9967231	+	CG12133
3L	16591050	-	tra
3L	20231669	+	CG13813
3R	7913851	+	CG2678
3L	8372405	+	ImpE1
3L	16842294	+	TSG101
3R	15537292	-	AOX1
2L	4953136	-	Jon25Bii
X	11917260	-	pot
3L	5152376	-	Gen
3L	6964758	-	sgl
2R	12870249	+	bic
3L	18112959	+	CG32195
3L	18114284	+	CG32195
3R	13051453	-	CG7966
4	879	+	JYalpha
2R	9286827	+	Cog6
2R	12652487	-	CG8778
3R	15343110	-	CG6218
3R	15343256	-	CG6218
3R	22034286	-	CG45099
3R	4403076	+	lost
3R	21878686	-	CG34148
2R	19945877	-	CG42690
3L	2652088	+	Snup
2R	8362156	-	spaw
2R	8361017	-	spaw
3R	25832230	+	alpha4GT2
3R	7549124	-	alpha-Est1
3L	12310805	+	CG44355
X	17888177	+	CG6788
3R	11819339	-	glo
3R	11819071	-	glo
3L	1755668	-	Cht2
3L	1755272	-	Cht2
3L	1755934	-	Cht2
X	18858203	+	Usp39
3L	15147137	+	FucTA
3L	15150506	+	FucTA
2R	20212619	-	CG16894
2L	13182596	-	CG31849
3L	16497651	+	st
3L	7742685	-	Snmp2
2R	13971161	-	St4
2R	13971263	-	St4
2R	14212413	-	Sox15
2L	18359028	-	Acp36DE
2L	21516773	+	His1:CG33852
3R	16370533	-	CG10317
2L	11075513	+	CG43725
X	8117012	+	CG1575
3R	29794597	+	sro
2L	10239341	+	me31B
2R	19501323	-	CG16926
2R	19501418	-	CG16926
2R	24876691	+	CG44247
3R	25023256	+	beta4GalT7
X	13286016	+	CG15743
X	13286216	+	CG15743
X	13285707	+	CG15743
2L	1184020	-	CG5126
2L	9164235	+	CG13108
3L	20439872	-	Hpd
3L	14762028	+	CG9384
3R	26133154	+	CG6142
3R	25320101	-	CG10560
3L	21568898	-	CRIF
3L	16050671	-	Diap1
3L	16046846	-	Diap1
3L	16051034	-	Diap1
3L	16042570	-	Diap1
3L	16040535	-	Diap1
2R	24664423	+	ND-19
2R	24664398	+	ND-19
3R	5523120	-	CG43845
X	13616989	+	Tango2
2L	5741244	-	CG11147
2L	5740954	-	CG11147
X	12007176	+	CG1806
3L	3193216	+	Hsp83
3L	3192969	+	Hsp83
3L	8955021	+	GNBP3
X	20259239	+	CG42577
2L	13972947	-	He
3L	16853751	+	sina
3L	16855919	+	sina
3L	17027515	+	CG7730
2R	11349870	-	gammaTry
2L	9967229	-	Dref
3R	29807127	-	ncd
3R	29806747	-	ncd
3L	8197857	-	UbcE2M
3L	8197987	-	UbcE2M
2L	2759677	-	Snapin
2R	14871366	+	Cyp6a22
2R	14871688	+	Cyp6a22
3L	8720225	-	SrpRbeta
3L	1652900	-	Vta1
2R	16119793	+	Jhe
2R	16120134	+	Jhe
X	19521804	-	Idh3a
X	19521810	-	Idh3a
3R	13779624	+	CG42375
X	990518	+	CG18823
2R	17394593	+	CG10939
3R	19607254	+	CG17751
X	11477058	+	Cyp4g15
2L	20097581	+	Kua
2L	20097856	+	Kua
2L	20097858	+	Kua
2R	7535919	+	Gpo2
2R	11863252	-	Twdlbeta
X	17844949	+	Ucp4A
3L	12741718	+	CG32112
3L	12741805	+	CG32112
2L	9767058	+	CG4017
2R	18135426	+	Pcl
2L	6373515	+	slam
2L	6372388	+	slam
2R	10066514	-	PIG-N
2R	18536767	+	Pepck1
2R	17685814	+	CG42562
2L	20865215	+	CG9338
X	8385781	+	CG1387
2R	20262883	-	PCNA
2R	20262810	-	PCNA
2R	8437647	+	Lcp4
2L	6562325	+	Ent2
2R	17748078	-	sub
3L	14769283	-	CG17173
2L	8244003	-	CG43057
3R	12158595	-	dpr15
3R	24830301	+	CG43273
3R	12434098	+	Srlp
2R	23323659	+	CG9861
3R	9747875	+	PpD3
3R	9748127	+	PpD3
3R	9747913	+	PpD3
2R	22984293	-	CG32834
X	13387417	-	Yippee
3L	18950629	+	CG6836
3L	16378566	-	roq
3R	7798771	-	CG18744
3L	8128054	+	Cds
3L	8127762	+	Cds
3L	19062816	-	Ugt316A1
3L	3301142	-	CG14968
3L	3302416	-	CG14968
3L	3303112	-	CG14968
3L	3300968	-	CG14968
3R	11244302	+	CG5214
2L	12055985	-	JhI-21
2L	12055792	-	JhI-21
2L	12055949	-	JhI-21
2L	12056042	-	JhI-21
2L	12055587	-	JhI-21
2R	6648654	+	Debcl
3R	24333316	-	CG5728
2R	17518186	-	APC10
2R	9806875	-	CG1688
3L	17446549	+	CG18265
3L	17439401	+	CG18265
2L	15061656	+	solo
3R	14256108	+	CG43179
2L	21488249	-	His2B:CG33888
3R	15230585	+	CG34316
2L	20734911	+	Fs(2)Ket
2L	20734609	+	Fs(2)Ket
2R	11250368	+	Or47a
2R	14371186	+	Obp50c
3L	12193688	-	thoc6
3L	16306600	+	CG13063
2L	13412519	+	CG16848
3L	22741388	-	l(3)04053
3L	3654771	-	CG10862
3R	27582840	+	pins
X	20869397	-	CG1314
3R	5824504	-	Sec20
3R	5824532	-	Sec20
3L	16610418	-	Prosbeta6
X	7104491	-	CG4617
3R	10048797	-	CG12811
2R	16241934	-	CG15708
2R	17034012	-	CG43328
2R	17033360	-	CG43328
2R	12378440	+	Cpr49Ab
3L	4259430	+	CG1309
2L	2759924	+	Tnpo-SR
3L	19985868	-	hale
3L	5922055	+	CG32407
3L	5922476	+	CG32407
3R	15328729	+	ea
3R	27065436	+	CG43935
3R	27695235	+	HSPBAP1
2L	6740188	-	TTLL3A
3L	2772325	-	AhcyL1
3R	17149667	+	Det
2L	15425580	-	wor
3R	14125548	-	140up
3L	18744488	+	CG6885
3L	9250225	+	CG4477
X	17223815	-	CG34327
2R	11293174	-	dare
3R	29914346	-	Capa
3L	19952790	-	CG33710
2L	8241800	-	Spn28F
3L	16217303	-	CG13073
X	13194435	-	Coq5
X	13194551	-	Coq5
X	13194392	-	Coq5
2R	15696794	+	CG33462
2L	15009692	-	THG
2L	15009724	-	THG
3R	17150587	+	CG5285
X	16651376	+	CG42512
2L	3491071	-	CG15414
X	10673466	-	CG12637
2R	8627611	-	beta3GalTII
X	8145602	-	alpha-PheRS
X	15587733	+	Alp11
3R	7913290	-	CG2846
2L	2253045	+	CG17234
3R	20585833	-	CG16953
3L	5902456	-	QC
2L	10032690	+	obst-B
2R	13393361	-	CG43691
X	13387730	+	CG1662
X	13387563	+	CG1662
2L	21459265	-	His4:CG33899
2L	3765494	+	CG43703
3L	21679755	-	Als2
3L	8180923	+	Uxs
3L	3219156	+	nSMase
3R	19094905	-	mRpL55
3L	15687902	-	CG34452
3L	15687632	-	CG34452
3R	27229468	-	CG42814
X	1908920	+	Rbcn-3B
3R	7144724	+	CG2656
2R	24017421	+	Rsph4a
3R	16443007	-	CG14894
3R	13964885	+	Orc2
2R	13434207	+	Ser8
3L	22729766	+	CG32454
3R	21097827	-	RhoGAP93B
2R	12174802	+	CCT5
3L	17633449	+	CG7497
2L	7857077	+	lectin-28C
2L	21082494	-	CG33511
3L	13997191	+	CG17361
3R	6111034	-	Obp83ef
2R	16880713	+	CG6472
2R	16579470	+	Cdk4
2R	16579564	+	Cdk4
2R	16580833	+	Cdk4
2R	16579765	+	Cdk4
2R	16580106	+	Cdk4
2L	1199412	+	CG43348
X	1513070	+	inc
X	1483479	+	inc
2R	23346635	+	CG9863
3L	14697105	-	CG13474
2R	7387324	+	Dhx15
2R	7387187	+	Dhx15
3L	16612199	-	Su(P)
3L	1947565	+	Cnb
3L	1947755	+	Cnb
3R	14361786	-	HEATR2
2R	23747560	+	CG13560
3R	17417467	+	CG33333
X	3460592	+	CG10801
3R	23996414	+	LSm3
3R	23996262	+	LSm3
3R	14262387	+	CG14839
2R	21067087	-	Cht4
3R	23481865	+	Ir94f
2L	21529769	-	His4:CG33871
2R	19283961	-	CG11906
X	15769664	+	CG33172
X	10772541	+	CG15211
X	10772768	+	CG15211
2R	16825066	+	CG34459
2R	16825530	+	CG34459
2R	16824664	+	CG34459
3R	4784722	-	CG17387
3R	31744282	+	CG1896
2L	16760554	-	ppk17
2L	16760138	-	ppk17
3R	26947830	+	Spag1
3R	29905464	+	CG15515
3L	20140607	-	CG7328
3R	20008947	+	MED25
3R	25277212	-	CG10513
3R	12398929	-	Cyp9f3
2L	6623112	+	CG34345
2L	10373900	-	rho-5
3R	26318355	+	CG33970
3R	15372212	-	CG6136
3R	10412869	-	Irp-1B
X	1890256	+	mRpL16
3R	12360008	+	CG4115
X	17226442	-	CG10598
X	17226867	-	CG10598
2L	21499736	-	His4:CG33883
3R	20579850	-	EloB
3L	22741793	+	CG7369
3L	17671796	+	CG34251
3L	17671622	+	CG34251
3L	22692528	-	CG14454
3L	4384442	+	slow
2L	10842597	-	CG6700
X	5713527	-	CG33080
X	1865909	+	MED18
3R	27581543	-	wdb
3R	27582241	-	wdb
2L	9634179	+	Apoltp
X	2410901	-	CG12496
2L	6907844	-	CG13773
2R	22207987	-	Alp2
X	20051294	+	CG9570
3L	66430	+	Lsp1gamma
X	656114	+	SkpA
X	657074	+	SkpA
X	656673	+	SkpA
X	656356	+	SkpA
2R	12655954	+	CG8646
2L	9947648	-	CG5853
2L	9947407	-	CG5853
3R	27253430	+	TfIIA-L
X	4650032	-	Torsin
X	4649833	-	Torsin
2L	10732653	+	Dpy-30L1
2L	8517380	-	mRpL51
2L	8528505	-	lmgA
2L	8528618	-	lmgA
3R	22694959	+	cd
2R	9017815	+	CG13747
2R	12168731	+	SmD3
X	16742847	+	Twdlalpha
3R	17137893	+	CG5255
3L	18901594	+	CG6843
3L	21196853	-	park
3L	21196769	-	park
3L	1203036	-	CG32335
2L	16257606	-	PRL-1
2L	16256155	-	PRL-1
2L	16251788	-	PRL-1
2L	4279315	-	Art2
2L	4281324	-	Art2
2L	18844579	-	CG33120
2R	10407445	-	CG12898
3R	5523328	-	Nmdar1
3R	25777198	-	CG17195
X	2428967	-	gt
2L	19424050	+	CG13085
2L	19426298	+	CG13085
2L	1344171	-	CG33922
2R	13849882	+	CG30485
3L	9723423	+	defl
X	11570621	+	CG11699
X	6600062	+	pigs
X	6602325	+	pigs
2R	21664469	+	CG42362
2R	21664126	+	CG42362
X	7011437	+	CG42308
X	7011357	+	CG42308
X	4101031	-	CG6379
3L	1477619	+	robl62A
2L	10017463	-	CG13131
2L	14741840	-	CG42586
X	1879774	-	CG14818
X	1879580	-	CG14818
2L	15711099	-	CG43924
3R	18677539	-	dind
2L	19262240	-	CG31797
2R	19287983	+	AANATL6
2R	8447451	+	Cyp4e1
2R	16291518	+	CG30100
2R	16291453	+	CG30100
X	6365708	-	swa
2R	7407819	-	Eaf
2R	7057548	-	Tsp42Ep
2R	6209468	-	CG17994
2R	24098636	-	gek
2R	18140078	+	pAbp
2R	18141375	+	pAbp
2R	18140777	+	pAbp
2L	16294183	+	Cyp303a1
3L	11708979	+	mtTFB1
3R	30587302	-	CG9717
3R	12062944	-	CG14740
3R	10873038	+	CG4596
3L	16362603	+	Cpr72Ea
3L	13022688	-	AdenoK
2L	10419190	+	RfC3
3R	21660432	-	E2f1
3R	21660871	-	E2f1
3R	21638494	-	E2f1
3R	21633073	-	E2f1
3L	1472060	-	Naa30B
3L	20000644	+	Tom20
3L	20001088	+	Tom20
3R	21736849	-	CG42869
3L	19236360	+	CG33647
2R	20960909	-	hbn
3L	8320763	+	CG13670
X	7933742	+	RpS14a
3R	3263582	-	Pzl
2R	13558545	+	CG13334
3L	5777333	-	vito
X	11905371	-	Upf1
2L	9895287	+	Bka
2L	18596921	-	amos
2L	4463611	+	CG15436
2L	21473141	+	His2A:CG33826
2L	13366189	-	Nnp-1
2R	11899517	+	Zip48C
2L	10964153	-	dpr2
2L	5314895	-	CG14024
3L	15955096	+	GXIVsPLA2
3L	7131863	+	Acbp2
3L	7132637	+	Acbp2
3R	25122920	-	CG31510
2R	6828356	+	CG15236
2L	5981764	+	eIF4A
2L	5982594	+	eIF4A
2L	5982363	+	eIF4A
X	4540626	-	rb
3L	21733487	-	CG14568
3L	3942850	+	CG14982
3L	3942710	+	CG14982
3R	12210360	-	CG4830
X	22529964	+	S6kII
2R	6181626	-	CG11211
3L	7641648	-	CG7506
3R	12630647	+	Not10
3R	16482452	-	Sdhaf3
2R	9865632	+	Ntmt
3R	15834648	+	Arpc3A
3R	18726434	-	CG7714
3L	2005651	-	CG42841
2R	14375921	+	CG30075
3R	22381340	+	CG43342
3R	24319000	+	BRWD3
3R	23596273	-	CG16723
3L	8297169	+	Rab19
3L	8297018	+	Rab19
2R	24780917	+	CG3594
3L	5595272	-	Alp10
2R	17427511	-	CG6550
3L	14728760	+	CG13473
3R	16647004	-	CG10324
2R	16271971	-	Khc
3R	18693711	-	CG14300
3L	6624032	+	GluRIA
2L	1163886	-	CG5080
3R	14560054	-	CG14854
2L	13398664	-	CG10859
2L	13398444	-	CG10859
3L	11957769	-	CG11570
3L	6075245	-	CG13295
2L	10937353	+	CG14072
2L	10936662	+	CG14072
2L	20922876	-	Mtp
3L	11096496	+	CG33947
3R	20873938	+	TotB
3R	11967708	+	GC1
X	10366273	-	l(1)G0289
3R	31800963	+	Ir100a
2R	17665678	+	eIF3c
2R	17665759	+	eIF3c
2L	19102044	+	CG43731
X	18090509	-	CG7206
X	17842161	+	e(y)1
3R	24901116	+	CG10845
2L	5555072	+	GluRIIA
2L	277582	+	smo
3L	1536835	-	CG12091
2L	7027287	-	CG31908
2L	7027389	-	CG31908
