chr	tss	strand	gene
1	37474580	+	ZC3H12A
1	37514774	-	MEAF6
1	37554293	-	SNIP1
1	37556919	+	DNALI1
1	37595937	-	GNL2
1	37634892	-	RSPO1
1	37692249	-	C1orf109
1	37692481	+	CDCA8
1	37765133	-	EPHA10
1	37793802	+	MANEAL
1	37808208	-	YRDC
1	37806979	+	C1orf122
1	37859592	-	MTF1
1	37947057	-	INPP5B
1	37990075	-	SF3A3
1	38005606	-	FHL3
1	38009258	+	UTP11
1	38046793	-	POU3F1
1	38859772	-	RRAGC
1	38873368	-	MYCBP
1	38881617	-	AL139260.3
1	38881587	-	GJA9
1	38941830	-	RHBDL2
1	38991276	+	AKIRIN1
1	39026318	+	NDUFS5
1	39081316	+	MACF1
1	39491636	+	BMP8A
1	39576790	-	PABPC4
1	39639643	-	HEYL
1	39672038	-	NT5C1A
1	39691485	-	HPCAL4
1	39692182	+	PPIE
1	39788865	-	BMP8B
1	39771348	-	OXCT2
1	39883511	-	TRIT1
1	39902256	-	MYCL
1	39955112	+	MFSD2A
1	40040233	+	CAP1
1	40097727	-	PPT1
1	40161387	+	RLF
1	40245947	+	TMCO2
1	40258236	+	ZMPSTE24
1	40317813	-	COL9A2
1	40344850	+	SMAP2
1	40450102	+	ZFP69B
1	40477290	+	ZFP69
1	40508741	+	EXO5
1	40531573	+	ZNF684
1	40665682	-	RIMS3
1	40691648	+	NFYC
1	40783787	+	KCNQ4
1	40862363	-	CITED4
1	40979688	+	CTPS1
1	41023237	-	SLFNL1
1	41242154	-	SCMH1
1	41361922	+	FOXO6
1	41484683	-	EDN2
1	42035925	-	HIVEP3
1	41628816	-	AC119676.1
1	42153410	+	GUCA2B
1	42164745	-	GUCA2A
1	42335877	-	FOXJ3
1	42380792	+	RIMKLA
1	42456253	-	ZMYND12
1	42456117	+	PPCS
1	42463221	+	CCDC30
1	42658423	+	PPIH
1	42682418	+	YBX1
1	42740254	-	CLDN19
1	42767084	-	P3H1
1	42767249	+	C1orf50
1	42767292	+	AC098484.3
1	42785007	+	TMEM269
1	42817397	-	SVBP
1	42817122	+	ERMAP
1	42846573	+	ZNF691
1	42958868	-	SLC2A1
1	43145153	+	FAM183A
1	43270936	-	EBNA1BP2
1	43172149	+	CFAP57
1	43269983	+	TMEM125
1	43285617	-	C1orf210
1	43300982	+	TIE1
1	43337818	+	MPL
1	43358981	+	CDC20
1	43368074	-	ELOVL1
1	43389808	-	MED8
1	43389882	+	SZT2
1	43453989	-	HYI
1	43525187	+	PTPRF
1	43650149	+	KDM4A
1	43650149	+	AL451062.4
1	43705824	+	ST3GAL3
1	43933320	+	ARTN
1	43946950	+	IPO13
1	43970000	+	DPH2
1	43974487	+	ATP6V0B
1	43978943	+	B4GALT2
1	43991359	+	CCDC24
1	44031467	-	SLC6A9
1	44118821	+	KLF17
1	44141631	-	KLF18
1	44213455	+	DMAP1
1	44355260	-	ERI3
1	44405194	+	RNF220
1	44674481	-	TMEM53
1	44674692	+	ARMH1
1	44739818	+	KIF2C
1	44775251	+	RPS8
1	44788170	-	BEST4
1	44800377	+	PLK3
1	44806675	-	TCTEX1D4
1	44808482	+	BTBD19
1	44843253	-	PTCH2
1	44986722	-	EIF2B3
1	45011324	-	HECTD3
1	45010950	+	UROD
1	45306209	-	ZSWIM5
1	45326895	+	HPDL
1	45340893	-	MUTYH
1	45491155	-	AL451136.1
1	45340052	+	TOE1
1	45491163	-	TESK2
1	45500079	-	CCDC163
1	45500300	+	MMACHC
1	45523047	-	PRDX1
1	45550543	+	AKR1A1
1	45583846	+	NASP
1	45624057	-	CCDC17
1	45688113	-	GPBP1L1
1	45688181	+	TMEM69
1	45750653	-	IPP
1	45786987	+	MAST2
1	46133036	-	PIK3R3
1	46176488	-	AL358075.4
1	46175073	+	TSPAN1
1	46176478	-	P3R3URF
1	46220305	-	POMGNT1
1	46203334	+	LURAP1
1	46246461	+	RAD54L
1	46303608	-	LRRC41
1	46303698	+	UQCRH
1	46340177	+	NSUN4
1	46394317	+	FAAH
1	46489836	+	DMBX1
1	46543969	-	TMEM275
1	46551527	-	KNCN
1	46616843	-	MKNK1
1	46616891	-	MOB3C
1	46673867	-	ATPAF1
1	46668855	+	TEX38
1	46719114	-	EFCAB14
1	46757838	+	CYP4B1
1	46941484	-	CYP4A11
1	47023669	+	CYP4X1
1	47067231	+	CYP4Z1
1	47137435	+	CYP4A22
1	47191044	-	PDZK1IP1
1	47232220	-	TAL1
1	47314147	-	STIL
1	47333797	+	CMPK1
1	47416285	+	FOXE3
1	47436017	+	FOXD2
1	47997385	-	TRABD2B
1	48222685	+	SLC5A9
1	48472208	-	SPATA6
1	50023954	-	AGBL4
1	48776969	-	BEND5
1	50024029	+	ELAVL4
1	50423443	-	DMRTA2
1	50960267	-	FAF1
1	50960745	+	CDKN2C
1	51102221	+	C1orf185
1	51236273	+	RNF11
1	51345116	-	TTC39A
1	51519266	-	EPS15
1	51577179	+	OSBPL9
1	51878937	-	NRDC
1	51990700	-	RAB3B
1	52055191	-	TXNDC12
1	52033350	-	AL445685.3
1	52033810	-	KTI12
1	52056199	+	BTF3L4
1	52142094	+	ZFYVE9
1	52366193	-	CC2D1B
1	52404423	-	ORC1
1	52404602	+	PRPF38A
1	52553487	-	TUT4
1	52602371	+	GPX7
1	52633168	+	SHISAL2A
1	52698347	-	COA7
1	52726453	+	ZYG11B
1	52842511	+	ZYG11A
1	52927212	-	ECHDC2
1	52927276	+	SCP2
1	53062052	+	PODN
1	53142632	-	SLC1A7
1	53196792	+	CPT2
1	53220634	-	CZIB
1	53238518	-	MAGOH
1	53328469	-	LRP8
1	53459399	+	DMRTB1
1	53738106	-	GLIS1
1	53838463	-	NDC1
1	53889798	-	YIPF1
1	53891239	+	DIO1
1	53945929	-	HSPB11
1	53946085	+	LRRC42
1	54018186	-	LDLRAD1
1	54053504	-	TMEM59
1	54053584	+	TCEANC2
1	54200073	-	AL357673.1
1	54153770	-	CDCP2
1	54200036	-	CYB5RL
1	54184041	+	MRPL37
1	54413479	-	SSBP3
1	54542257	+	ACOT11
1	54623556	-	FAM151A
1	54641754	+	MROH7
1	54641786	+	MROH7-TTC4
1	54715861	+	TTC4
1	54764523	-	PARS2
1	54801323	-	TTC22
1	54806063	+	LEXM
1	54887195	-	DHCR24
1	54980628	+	TMEM61
1	54998933	+	BSND
1	55039447	+	PCSK9
1	55215364	-	USP24
1	56524495	-	AC119674.2
1	56645301	-	PLPP3
1	56645314	+	PRKAA2
1	56819696	-	FYB2
1	56854797	+	C8A
1	56966140	-	C8B
1	58546734	-	DAB1
1	58546802	-	OMA1
1	58577252	-	TACSTD2
1	58700077	-	MYSM1
1	58784047	-	JUN
1	59296638	+	FGGY
1	59814786	+	HOOK1
1	59926773	-	CYP2J2
1	60073770	-	C1orf87
1	60865259	+	NFIA
1	61725423	-	TM2D1
1	61742406	+	PATJ
1	62194849	+	L1TD1
1	62319434	-	KANK4
1	62436297	+	USP1
1	62688386	-	DOCK7
1	62597520	+	ANGPTL3
1	62784132	+	ATG4C
1	63322567	+	FOXD3
1	63367575	+	ALG6
1	63593721	-	ITGB3BP
1	63523372	+	EFCAB7
1	63593411	+	PGM1
1	63774017	+	ROR1
1	64203627	+	UBE2U
1	64470129	+	CACHD1
1	64745095	+	RAVER2
1	65067754	-	JAK1
1	65147549	+	AK4
1	65248219	+	DNAJC6
1	65420587	+	LEPROT
1	65420652	+	LEPR
1	65792514	+	PDE4B
1	66533383	+	SGIP1
1	66752459	+	TCTEX1D1
1	66801256	-	INSL5
1	66924856	-	WDR78
1	66924895	+	MIER1
1	67054148	-	SLC35D1
1	67231853	-	C1orf141
1	67138907	+	IL23R
1	67307364	+	IL12RB2
1	67430415	-	SERBP1
1	67685201	+	GADD45A
1	67833467	-	GNG12
1	68051631	-	DIRAS3
1	68233120	-	WLS
1	68449954	-	RPE65
1	68497221	-	DEPDC1
1	69568261	+	LRRC7
1	70205579	-	LRRC40
1	70205682	+	SRSF11
1	70354734	-	ANKRD13C
1	70354805	+	HHLA3
1	70411218	+	CTH
1	71047808	-	PTGER3
1	71081289	-	ZRANB2
1	72282539	-	NEGR1
1	74198187	-	LRRIQ3
1	74198212	+	FPGT
1	74198235	+	FPGT-TNNI3K
1	74235387	+	TNNI3K
1	74512614	-	LRRC53
1	74673792	-	ERICH3
1	74733408	-	CRYZ
1	74733152	+	TYW3
1	75128434	+	LHX8
1	75611116	-	SLC44A5
1	75724347	+	ACADM
1	75786197	+	RABGGTB
1	75796882	+	MSH4
1	75932404	-	ASB17
1	76074746	+	ST6GALNAC3
1	76867480	+	ST6GALNAC5
1	77219430	-	PIGK
1	77282019	+	AK5
1	77683419	-	AC118549.1
1	77759852	-	USP33
1	77779624	+	MIGA1
1	77888513	+	NEXN
1	77979110	-	FUBP1
1	77979175	+	DNAJB4
1	77979542	+	GIPC2
1	78303884	+	PTGFR
1	78619922	+	IFI44L
1	78649796	+	IFI44
1	79282124	-	ADGRL4
1	81306160	+	ADGRL2
1	83999150	-	TTLL7
1	84078062	+	PRKACB
1	84298366	+	SAMD13
1	84398532	+	DNASE2B
1	84479259	+	RPF1
1	84506581	-	GNG5
1	84506300	+	SPATA1
1	84574480	-	CTBS
1	84690803	-	SSX2IP
1	84893206	-	LPAR3
1	84997113	-	MCOLN2
1	84999147	+	WDR63
1	85048500	-	MCOLN3
1	85201016	-	SYDE2
1	85259672	-	C1orf52
1	85276632	-	BCL10
1	85578363	-	DDAH1
1	85580761	+	CCN1
1	85708433	-	ZNHIT6
1	86156943	-	COL24A1
1	86396342	-	ODF2L
1	86424171	+	CLCA2
1	86468368	+	CLCA1
1	86547078	+	CLCA4
1	86704570	+	SH3GLB1
1	86914424	-	SELENOF
1	86914635	+	HS2ST1
1	86993009	+	AC093155.3
1	87328880	+	LMO4
1	88684222	+	PKN2
1	88891944	-	GTF2B
1	88992953	-	KYAT3
1	88992960	-	RBMXL1
1	89022894	-	GBP3
1	89065230	-	GBP1
1	89150456	-	GBP2
1	89176009	-	GBP7
1	89198942	-	GBP4
1	89272804	-	GBP5
1	89364058	+	GBP6
1	89524836	+	LRRC8B
1	89633072	+	LRRC8C
1	89633140	+	AC093423.3
1	89821014	+	LRRC8D
1	89995110	+	ZNF326
1	90717302	-	BARHL2
1	91022272	-	ZNF644
1	91404856	-	HFM1
1	91500851	+	CDC7
1	91906335	-	TGFBR3
1	91949371	+	BRDT
1	92029985	+	EPHX4
1	92075441	-	SETSIP
1	92080305	+	BTBD8
1	92217915	+	C1orf146
1	92298987	-	GLMN
1	92299059	+	RPAP2
1	92486925	-	GFI1
1	92792404	-	EVI5
1	92832013	+	RPL5
1	92961522	-	DIPK1A
1	93079235	+	MTF2
1	93180516	-	TMED5
1	93179919	+	CCDC18
1	93345907	+	DR1
1	93448131	+	FNBP1L
1	93847150	-	BCAR3
1	93879918	-	DNTTIP2
1	93909456	-	GCLM
1	94121148	-	ABCA4
1	94275068	-	ARHGAP29
1	94418389	+	ABCD3
1	94541759	-	F3
1	94820342	+	SLC44A3
1	94927223	-	CNN3
1	95072951	-	ALG14
1	95117355	+	TLCD4
1	95117923	+	TLCD4-RWDD3
1	95234210	+	RWDD3
1	96721665	+	PTBP2
1	97995000	-	DPYD
1	98661701	+	SNX7
1	99005032	-	PLPPR5
1	99263953	+	PLPPR4
1	99646113	+	PALMD
1	99766631	-	FRRS1
1	99850361	+	AGL
1	99969351	+	SLC35A3
1	99970011	+	AC118553.2
1	100038095	+	MFSD14A
1	100132955	-	SASS6
1	100133150	+	TRMT13
1	100178273	-	LRRC39
1	100249834	-	DBT
1	100266207	+	RTCA
1	100345001	+	CDC14A
1	100538139	+	GPR88
1	100719742	+	VCAM1
1	100895179	-	EXTL2
1	100896076	+	SLC30A7
1	101026088	-	DPH5
1	101236865	+	S1PR1
1	101997030	-	OLFM3
1	103108872	-	COL11A1
1	103525691	+	RNPC3
1	103553815	+	AMY2B
1	103616811	+	AMY2A
1	103655290	+	AMY1A
1	103696680	-	AMY1B
1	103750406	+	AMY1C
1	107056674	+	PRMT6
1	107140007	+	NTNG1
1	107965180	-	VAV3
1	108200849	-	SLC25A24
1	108244081	-	NBPF4
1	108450282	+	NBPF6
1	108560089	+	FAM102B
1	108661526	-	HENMT1
1	108692310	+	PRPF38B
1	108712908	+	FNDC7
1	108746674	+	STXBP3
1	108963484	-	AKNAD1
1	108875350	+	GPSM2
1	108963457	-	CLCC1
1	109042113	-	WDR47
1	109076003	-	TAF13
1	109090764	+	TMEM167B
1	109113857	-	C1orf194
1	109113679	+	KIAA1324
1	109213918	+	SARS1
1	109249539	+	CELSR2
1	109283186	-	PSRC1
1	109307011	-	MYBPHL
1	109397918	-	SORT1
1	109426448	-	PSMA5
1	109466546	+	SYPL2
1	109483479	+	ATXN7L2
1	109494052	+	CYB561D1
1	109509738	-	AMIGO1
1	109539872	+	GPR61
1	109548615	+	GNAI3
1	109619929	-	GNAT2
1	109616104	+	AMPD2
1	109656099	+	GSTM4
1	109668022	+	GSTM2
1	109687814	+	GSTM1
1	109711780	+	GSTM5
1	109741038	-	GSTM3
1	109764027	-	EPS8L3
1	109910242	+	CSF1
1	109984765	+	AHCYL1
1	110031577	+	STRIP1
1	110070672	-	ALX3
1	110112443	+	UBL4B
1	110150494	+	SLC6A17
1	110211343	+	KCNC4
1	110338506	+	RBM15
1	110391082	-	SLC16A4
1	110407942	-	LAMTOR5
1	110451149	+	PROK1
1	110519175	-	KCNA10
1	110631474	-	KCNA2
1	110674940	-	KCNA3
1	110871188	+	CD53
1	110963965	-	LRIF1
1	111140216	-	DRAM2
1	111139627	+	CEPT1
1	111204535	-	DENND2D
1	111200771	+	CHI3L2
1	111290851	+	CHIA
