chr	pos	str	motifID
19	14682602	-	MA0003
19	14887985	-	MA0003
19	15183929	-	MA0003
19	15235762	+	MA0003
19	15236420	+	MA0003
19	15407345	-	MA0003
19	15408342	-	MA0003
19	15530136	-	MA0003
19	15543619	+	MA0003
19	15549161	+	MA0003
19	15549162	-	MA0003
19	15560810	+	MA0003
19	15666680	+	MA0003
19	15704735	+	MA0003
19	15813030	+	MA0003
19	15813050	-	MA0003
19	16086875	-	MA0003
19	16221634	-	MA0003
19	16254455	-	MA0003
19	16254473	+	MA0003
19	16256413	+	MA0003
19	16494242	+	MA0003
19	16494243	-	MA0003
19	16563349	+	MA0003
19	16563350	-	MA0003
19	16574633	-	MA0003
19	16582965	-	MA0003
19	16653043	+	MA0003
19	16726148	-	MA0003
19	16739334	+	MA0003
19	17246463	-	MA0003
19	17264925	+	MA0003
19	17283958	+	MA0003
19	17283983	+	MA0003
19	17337189	+	MA0003
19	17357742	+	MA0003
19	17417016	-	MA0003
19	17422834	-	MA0003
19	17581162	-	MA0003
19	17905892	-	MA0003
19	17908373	+	MA0003
19	17994639	-	MA0003
19	18060595	+	MA0003
19	18228640	+	MA0003
19	18315707	-	MA0003
19	18392839	+	MA0003
19	18484755	+	MA0003
19	18499610	-	MA0003
19	18551414	-	MA0003
19	18654847	-	MA0003
19	18654855	-	MA0003
19	18717145	+	MA0003
19	18746986	-	MA0003
19	19052033	+	MA0003
19	19496854	-	MA0003
19	19496906	-	MA0003
19	19643215	+	MA0003
19	19702054	+	MA0003
19	19844240	+	MA0003
19	19976943	+	MA0003
19	20265646	-	MA0003
19	21512274	-	MA0003
19	23065733	+	MA0003
19	23065734	-	MA0003
19	23258285	+	MA0003
19	23576114	+	MA0003
19	23587580	-	MA0003
19	23692996	-	MA0003
19	23693038	+	MA0003
19	23882431	+	MA0003
19	24183687	-	MA0003
19	24216515	-	MA0003
19	28565766	+	MA0003
19	28565767	-	MA0003
19	29043033	+	MA0003
19	29077457	+	MA0003
19	29077495	+	MA0003
19	29077496	-	MA0003
19	30211678	+	MA0003
19	30251179	+	MA0003
19	30251180	-	MA0003
19	30265213	+	MA0003
19	30265258	-	MA0003
19	30433437	-	MA0003
19	30527364	+	MA0003
19	30527365	-	MA0003
19	30808898	-	MA0003
19	31174020	+	MA0003
19	31174034	+	MA0003
19	31210673	+	MA0003
19	32116178	+	MA0003
19	32157253	+	MA0003
19	33144406	+	MA0003
19	33165917	-	MA0003
19	33166779	+	MA0003
19	33166780	-	MA0003
19	33182752	-	MA0003
19	33183223	+	MA0003
19	33183224	-	MA0003
19	33361107	+	MA0003
19	33399738	+	MA0003
19	33399739	-	MA0003
19	33538381	+	MA0003
19	33556014	+	MA0003
19	33668366	+	MA0003
19	33685093	-	MA0003
19	33726672	+	MA0003
19	33784935	+	MA0003
19	33789599	+	MA0003
19	33790507	+	MA0003
19	33793789	-	MA0003
19	33864199	-	MA0003
19	33897906	-	MA0003
19	34001022	+	MA0003
19	34001023	-	MA0003
19	34112845	-	MA0003
19	34120628	-	MA0003
19	34359779	+	MA0003
19	34359780	-	MA0003
19	34370850	-	MA0003
19	34370897	-	MA0003
19	34397108	+	MA0003
19	34489599	+	MA0003
19	34625188	-	MA0003
19	34625205	+	MA0003
19	34625693	+	MA0003
19	34745431	-	MA0003
19	34878114	+	MA0003
19	34878115	-	MA0003
19	34949004	+	MA0003
19	34949005	-	MA0003
19	35168352	+	MA0003
19	35168402	+	MA0003
19	35168601	+	MA0003
19	35225157	+	MA0003
19	35225165	-	MA0003
19	35602020	-	MA0003
19	35607135	+	MA0003
19	35739496	+	MA0003
19	35739980	+	MA0003
19	35800545	+	MA0003
19	35810189	-	MA0003
19	35810200	-	MA0003
19	35810259	-	MA0003
19	35940429	+	MA0003
19	36001402	+	MA0003
19	36164644	-	MA0003
19	36175037	+	MA0003
19	36175038	-	MA0003
19	36193403	-	MA0003
19	36208056	-	MA0003
19	36236407	+	MA0003
19	36249000	+	MA0003
19	36450152	-	MA0003
19	36490041	-	MA0003
19	36499685	+	MA0003
19	36499686	-	MA0003
19	36505481	+	MA0003
19	36605894	+	MA0003
19	36611109	-	MA0003
19	36623599	+	MA0003
19	36623600	-	MA0003
19	36630968	-	MA0003
19	36980445	-	MA0003
19	37064239	-	MA0003
19	37288427	+	MA0003
19	37341119	+	MA0003
19	37569164	+	MA0003
19	37701391	-	MA0003
19	37862032	+	MA0003
19	37957850	+	MA0003
19	37957851	-	MA0003
19	38210302	-	MA0003
19	38210715	-	MA0003
19	38270524	+	MA0003
19	38397686	+	MA0003
19	38456925	+	MA0003
19	38456959	+	MA0003
19	38482585	+	MA0003
19	38495101	-	MA0003
19	38548886	+	MA0003
19	38565155	+	MA0003
19	38565156	-	MA0003
19	38720455	-	MA0003
19	38754914	-	MA0003
19	38791709	+	MA0003
19	38795801	-	MA0003
19	38826355	+	MA0003
19	38865310	-	MA0003
19	38969316	-	MA0003
19	39086869	+	MA0003
19	39086870	-	MA0003
19	39129294	-	MA0003
19	39129323	-	MA0003
19	39131279	+	MA0003
19	39131280	-	MA0003
19	39132974	-	MA0003
19	39140680	+	MA0003
19	39140681	-	MA0003
19	39176909	-	MA0003
19	39222599	+	MA0003
19	39328427	+	MA0003
19	39328428	-	MA0003
19	39329356	-	MA0003
19	39351606	+	MA0003
19	39390658	-	MA0003
19	39621177	-	MA0003
19	39621979	+	MA0003
19	39624218	-	MA0003
19	39627298	+	MA0003
19	39786780	+	MA0003
19	39786792	+	MA0003
19	39786793	-	MA0003
19	39798123	-	MA0003
19	39971354	-	MA0003
19	40023089	-	MA0003
19	40030186	-	MA0003
19	40048604	-	MA0003
19	40122046	-	MA0003
19	40476913	-	MA0003
19	40755477	+	MA0003
19	40763230	+	MA0003
19	40772272	+	MA0003
19	40828892	+	MA0003
19	40828893	-	MA0003
19	40910114	-	MA0003
19	40927189	+	MA0003
19	40927209	-	MA0003
19	40949258	+	MA0003
19	40967963	+	MA0003
19	41103044	+	MA0003
19	41111517	+	MA0003
19	41116477	+	MA0003
19	41208529	+	MA0003
19	41260660	-	MA0003
19	41284536	-	MA0003
19	41284556	-	MA0003
19	41304150	+	MA0003
19	41537980	+	MA0003
19	41701159	-	MA0003
19	41829020	-	MA0003
19	41831901	-	MA0003
19	41933377	-	MA0003
19	42278702	-	MA0003
19	42462822	-	MA0003
19	42711163	+	MA0003
19	42712946	+	MA0003
19	42724314	-	MA0003
19	42784724	+	MA0003
19	42785503	+	MA0003
19	42805981	+	MA0003
19	42805991	+	MA0003
19	42805992	-	MA0003
19	42807468	+	MA0003
19	42972609	+	MA0003
19	42984903	+	MA0003
19	42984904	-	MA0003
19	43769659	+	MA0003
19	43959689	+	MA0003
19	43959690	-	MA0003
19	43969814	+	MA0003
19	44022187	-	MA0003
19	44100400	+	MA0003
19	44288758	+	MA0003
19	44288766	+	MA0003
19	44289401	+	MA0003
19	44488126	-	MA0003
19	44488171	+	MA0003
19	44506968	+	MA0003
19	44711635	-	MA0003
19	44939940	-	MA0003
19	45388957	-	MA0003
19	45408934	-	MA0003
19	45505131	-	MA0003
19	45505185	-	MA0003
19	45570419	-	MA0003
19	45574628	+	MA0003
19	45582929	-	MA0003
19	45617108	+	MA0003
19	45621149	-	MA0003
19	45626773	-	MA0003
19	45654137	+	MA0003
19	45660261	-	MA0003
19	45665418	+	MA0003
19	45706055	-	MA0003
19	45907265	+	MA0003
19	45907288	-	MA0003
19	45908777	+	MA0003
19	45908794	+	MA0003
19	45927053	+	MA0003
19	45959153	-	MA0003
19	45996083	+	MA0003
19	45996084	-	MA0003
19	46009957	-	MA0003
19	46009985	+	MA0003
19	46011754	+	MA0003
19	46024448	+	MA0003
19	46051651	+	MA0003
19	46080985	+	MA0003
19	46088166	-	MA0003
19	46145479	+	MA0003
19	46234420	-	MA0003
19	46285048	+	MA0003
19	46367447	-	MA0003
19	46389333	+	MA0003
19	46417314	+	MA0003
19	46518731	-	MA0003
19	46580943	-	MA0003
19	46714716	-	MA0003
19	46725409	-	MA0003
19	46907621	-	MA0003
19	46915293	-	MA0003
19	47164638	+	MA0003
19	47295504	-	MA0003
19	47299523	-	MA0003
19	47305615	-	MA0003
19	47332574	+	MA0003
19	47516691	-	MA0003
19	47562154	-	MA0003
19	47676141	+	MA0003
19	47731153	+	MA0003
19	47769804	+	MA0003
19	47840282	+	MA0003
19	47949380	-	MA0003
19	48003754	+	MA0003
19	48003755	-	MA0003
19	48076506	+	MA0003
19	48103860	-	MA0003
19	48111760	+	MA0003
19	48127429	+	MA0003
19	48141473	-	MA0003
19	48141493	+	MA0003
19	48149012	+	MA0003
19	48216585	-	MA0003
19	48639245	-	MA0003
19	48667977	-	MA0003
19	48833473	+	MA0003
19	48894050	-	MA0003
19	48949085	+	MA0003
19	48991493	-	MA0003
19	48996285	+	MA0003
19	49122465	+	MA0003
19	49140828	+	MA0003
19	49212205	-	MA0003
19	49298747	-	MA0003
19	49314374	+	MA0003
19	49399746	+	MA0003
19	49436920	+	MA0003
19	49458508	+	MA0003
19	49458548	+	MA0003
19	49534998	-	MA0003
19	49559554	-	MA0003
19	49655229	+	MA0003
19	49661009	+	MA0003
19	49668560	-	MA0003
19	49864922	-	MA0003
19	49866411	+	MA0003
19	49866412	-	MA0003
19	49916364	-	MA0003
19	50289772	-	MA0003
19	50312723	+	MA0003
19	50364997	+	MA0003
19	50366307	+	MA0003
19	50431937	-	MA0003
19	50433271	-	MA0003
19	50554422	+	MA0003
19	50676488	-	MA0003
19	50834196	-	MA0003
19	50834236	+	MA0003
19	50887217	+	MA0003
19	51059979	+	MA0003
19	51198599	-	MA0003
19	51347723	+	MA0003
19	51362326	+	MA0003
19	51362346	-	MA0003
19	51547844	+	MA0003
19	51871120	-	MA0003
19	51925395	+	MA0003
19	52192413	+	MA0003
19	52193173	-	MA0003
19	52194095	+	MA0003
19	52207654	-	MA0003
19	52772930	+	MA0003
19	53073010	+	MA0003
19	53073018	+	MA0003
19	53363636	-	MA0003
19	53426442	+	MA0003
19	53513092	+	MA0003
19	54109765	+	MA0003
19	54373004	+	MA0003
19	54676858	+	MA0003
19	54712210	+	MA0003
19	55685134	-	MA0003
19	55727907	+	MA0003
19	55728349	-	MA0003
19	55770835	+	MA0003
19	55884368	+	MA0003
19	55918805	-	MA0003
19	56037825	-	MA0003
19	56047894	-	MA0003
19	56110600	-	MA0003
19	56165893	-	MA0003
19	56166330	-	MA0003
19	56616710	+	MA0003
19	56645694	+	MA0003
19	56665003	+	MA0003
19	56665004	-	MA0003
19	57999173	-	MA0003
19	58310674	+	MA0003
19	58310675	-	MA0003
19	58325458	-	MA0003
19	58397670	+	MA0003
19	58514066	-	MA0003
19	58662274	+	MA0003
19	58693381	-	MA0003
19	58740205	-	MA0003
19	58859045	+	MA0003
19	58859057	+	MA0003
19	58874366	-	MA0003
19	58892009	+	MA0003
19	58897758	-	MA0003
19	59010873	-	MA0003
19	59025484	+	MA0003
19	59055754	-	MA0003
19	59056173	+	MA0003
19	59070078	+	MA0003
19	344956	+	MA0014
19	494213	+	MA0014
19	494226	+	MA0014
19	648006	+	MA0014
19	729524	-	MA0014
19	1158648	+	MA0014
19	1269114	-	MA0014
19	1748280	+	MA0014
19	1898027	+	MA0014
19	2224108	+	MA0014
19	2478316	-	MA0014
19	3627115	+	MA0014
19	3627162	+	MA0014
19	4155153	-	MA0014
19	4185557	+	MA0014
19	4472027	-	MA0014
19	5029788	+	MA0014
19	5295032	+	MA0014
19	5826661	+	MA0014
19	6199346	+	MA0014
19	6502362	-	MA0014
19	6502368	+	MA0014
19	6502369	-	MA0014
19	6502379	-	MA0014
19	6521963	+	MA0014
19	6779694	+	MA0014
19	7459933	-	MA0014
19	7459950	-	MA0014
19	7600860	-	MA0014
19	8008322	-	MA0014
19	8934458	+	MA0014
19	10213621	+	MA0014
19	10981787	+	MA0014
19	10981855	+	MA0014
19	11079363	-	MA0014
19	12405746	-	MA0014
19	12444581	-	MA0014
19	12917192	-	MA0014
19	13951455	+	MA0014
19	15236302	-	MA0014
19	15236324	+	MA0014
19	15667454	+	MA0014
19	16630983	+	MA0014
19	16729254	+	MA0014
19	17244295	-	MA0014
19	17302607	+	MA0014
19	17863879	+	MA0014
19	17970972	+	MA0014
19	18057088	+	MA0014
19	18209750	+	MA0014
19	18366110	-	MA0014
19	18632978	-	MA0014
19	19254957	-	MA0014
19	20280078	-	MA0014
19	20280126	-	MA0014
19	30155862	+	MA0014
19	30164022	-	MA0014
19	30250933	+	MA0014
19	31143707	+	MA0014
19	35866720	+	MA0014
19	36390795	-	MA0014
19	36390799	+	MA0014
19	36391539	-	MA0014
19	36429889	-	MA0014
19	38413871	-	MA0014
19	40784849	-	MA0014
19	40791069	-	MA0014
19	40791783	+	MA0014
19	42462034	-	MA0014
19	42790602	+	MA0014
19	46009818	+	MA0014
19	47104244	-	MA0014
19	47104267	+	MA0014
19	47104268	-	MA0014
19	47253811	-	MA0014
19	47760492	+	MA0014
19	48833780	+	MA0014
19	49141010	+	MA0014
19	49141016	+	MA0014
19	49375506	-	MA0014
19	49375526	+	MA0014
19	49588131	+	MA0014
19	49998418	-	MA0014
19	50779071	+	MA0014
19	50887520	+	MA0014
19	50887552	+	MA0014
19	53664496	-	MA0014
19	55919518	-	MA0014
19	56061038	-	MA0014
19	56201835	-	MA0014
19	57954870	+	MA0014
19	58892183	+	MA0014
19	58892184	-	MA0014
19	58987381	-	MA0014
19	58987387	-	MA0014
19	59070931	-	MA0014
19	383122	+	MA0018
19	383122	-	MA0018
19	511352	+	MA0018
19	511352	-	MA0018
19	551272	+	MA0018
19	551272	-	MA0018
19	830343	+	MA0018
19	830343	-	MA0018
19	844604	+	MA0018
19	844604	-	MA0018
19	980681	+	MA0018
19	980681	-	MA0018
19	996553	+	MA0018
19	996553	-	MA0018
19	1021685	+	MA0018
19	1021685	-	MA0018
19	1021702	+	MA0018
19	1021702	-	MA0018
19	1042380	+	MA0018
19	1042380	-	MA0018
19	1104635	+	MA0018
19	1104635	-	MA0018
19	1240340	+	MA0018
19	1240340	-	MA0018
19	1249146	+	MA0018
19	1249146	-	MA0018
19	1260904	+	MA0018
19	1260904	-	MA0018
19	1274183	+	MA0018
19	1274183	-	MA0018
19	1415667	+	MA0018
19	1415667	-	MA0018
19	1542863	+	MA0018
19	1542863	-	MA0018
19	1568388	+	MA0018
19	1568388	-	MA0018
19	1690910	+	MA0018
19	1690910	-	MA0018
19	1753464	+	MA0018
19	1753464	-	MA0018
19	1940776	+	MA0018
19	1940776	-	MA0018
19	1940797	+	MA0018
19	1940797	-	MA0018
19	2035258	+	MA0018
19	2035258	-	MA0018
19	2302474	+	MA0018
19	2302474	-	MA0018
19	2494896	+	MA0018
19	2494896	-	MA0018
19	2702929	+	MA0018
19	2702929	-	MA0018
19	2840939	+	MA0018
19	2840939	-	MA0018
19	2945405	+	MA0018
19	2945405	-	MA0018
19	2956593	+	MA0018
19	2956593	-	MA0018
19	2962202	+	MA0018
19	2962202	-	MA0018
19	2962221	+	MA0018
19	2962221	-	MA0018
19	3035700	+	MA0018
19	3035700	-	MA0018
19	3306947	+	MA0018
19	3306947	-	MA0018
19	3451168	+	MA0018
19	3451168	-	MA0018
19	3503066	+	MA0018
19	3503066	-	MA0018
19	3506099	+	MA0018
19	3506099	-	MA0018
19	3568925	+	MA0018
19	3568925	-	MA0018
19	3670301	+	MA0018
19	3670301	-	MA0018
19	3670319	+	MA0018
19	3670319	-	MA0018
19	3670991	+	MA0018
19	3670991	-	MA0018
19	3736488	+	MA0018
19	3736488	-	MA0018
19	3736516	+	MA0018
19	3736516	-	MA0018
19	3762656	+	MA0018
19	3762656	-	MA0018
19	3850009	+	MA0018
19	3850009	-	MA0018
19	3850541	+	MA0018
19	3850541	-	MA0018
19	3971119	+	MA0018
19	3971119	-	MA0018
19	3977557	+	MA0018
19	3977557	-	MA0018
19	3985470	+	MA0018
19	3985470	-	MA0018
19	4065148	+	MA0018
19	4065148	-	MA0018
19	4375921	+	MA0018
19	4375921	-	MA0018
19	4402334	+	MA0018
19	4402334	-	MA0018
19	4589685	+	MA0018
19	4589685	-	MA0018
19	4633683	+	MA0018
19	4633683	-	MA0018
19	4633716	+	MA0018
19	4633716	-	MA0018
19	4831801	+	MA0018
19	4831801	-	MA0018
19	5340873	+	MA0018
19	5340873	-	MA0018
19	5687321	+	MA0018
19	5687321	-	MA0018
19	5791260	+	MA0018
19	5791260	-	MA0018
19	5791279	+	MA0018
19	5791279	-	MA0018
19	5985447	+	MA0018
19	5985447	-	MA0018
19	5985500	+	MA0018
19	5985500	-	MA0018
19	6156244	+	MA0018
19	6156244	-	MA0018
19	6372374	+	MA0018
19	6372374	-	MA0018
19	6393461	+	MA0018
19	6393461	-	MA0018
19	6541141	+	MA0018
19	6541141	-	MA0018
19	6734541	+	MA0018
19	6734541	-	MA0018
19	6768022	+	MA0018
19	6768022	-	MA0018
19	6828406	+	MA0018
19	6828406	-	MA0018
19	6828413	+	MA0018
19	6828413	-	MA0018
19	7553910	+	MA0018
19	7553910	-	MA0018
19	7557305	+	MA0018
19	7557305	-	MA0018
19	7676636	+	MA0018
19	7676636	-	MA0018
19	7694457	+	MA0018
19	7694457	-	MA0018
19	7714484	+	MA0018
19	7714484	-	MA0018
19	7735877	+	MA0018
19	7735877	-	MA0018
19	7761622	+	MA0018
19	7761622	-	MA0018
19	7761638	+	MA0018
19	7761638	-	MA0018
19	7761673	+	MA0018
19	7761673	-	MA0018
19	7893882	+	MA0018
19	7893882	-	MA0018
19	7934095	+	MA0018
19	7934095	-	MA0018
19	7968631	+	MA0018
19	7968631	-	MA0018
19	8386278	+	MA0018
19	8386278	-	MA0018
19	8454861	+	MA0018
19	8454861	-	MA0018
19	8488959	+	MA0018
19	8488959	-	MA0018
19	8799384	+	MA0018
19	8799384	-	MA0018
19	9289768	+	MA0018
19	9289768	-	MA0018
19	9517858	+	MA0018
19	9517858	-	MA0018
19	9546262	+	MA0018
19	9546262	-	MA0018
19	9649338	+	MA0018
19	9649338	-	MA0018
19	9695226	+	MA0018
19	9695226	-	MA0018
19	9731927	+	MA0018
19	9731927	-	MA0018
19	9785779	+	MA0018
19	9785779	-	MA0018
19	9811153	+	MA0018
19	9811153	-	MA0018
19	10342253	+	MA0018
19	10342253	-	MA0018
19	10362861	+	MA0018
19	10362861	-	MA0018
19	10514280	+	MA0018
19	10514280	-	MA0018
19	10527416	+	MA0018
19	10527416	-	MA0018
19	10527449	+	MA0018
19	10527449	-	MA0018
19	10536160	+	MA0018
19	10536160	-	MA0018
19	10542741	+	MA0018
19	10542741	-	MA0018
19	10759199	+	MA0018
19	10759199	-	MA0018
19	10974098	+	MA0018
19	10974098	-	MA0018
19	11379688	+	MA0018
19	11379688	-	MA0018
19	11646997	+	MA0018
19	11646997	-	MA0018
19	11649523	+	MA0018
19	11649523	-	MA0018
19	12893367	+	MA0018
19	12893367	-	MA0018
19	12950032	+	MA0018
19	12950032	-	MA0018
19	13001957	+	MA0018
19	13001957	-	MA0018
19	13045263	+	MA0018
19	13045263	-	MA0018
19	13056464	+	MA0018
19	13056464	-	MA0018
19	13056485	+	MA0018
19	13056485	-	MA0018
19	13085319	+	MA0018
19	13085319	-	MA0018
19	13094498	+	MA0018
19	13094498	-	MA0018
19	13262454	+	MA0018
19	13262454	-	MA0018
19	13263825	+	MA0018
19	13263825	-	MA0018
19	13409577	+	MA0018
19	13409577	-	MA0018
19	13849101	+	MA0018
19	13849101	-	MA0018
19	13991115	+	MA0018
19	13991115	-	MA0018
19	14032436	+	MA0018
19	14032436	-	MA0018
19	14117644	+	MA0018
19	14117644	-	MA0018
19	14117687	+	MA0018
19	14117687	-	MA0018
19	14117722	+	MA0018
19	14117722	-	MA0018
19	14517111	+	MA0018
19	14517111	-	MA0018
19	14536732	+	MA0018
19	14536732	-	MA0018
19	14682969	+	MA0018
19	14682969	-	MA0018
19	15443353	+	MA0018
19	15443353	-	MA0018
19	15560808	+	MA0018
19	15560808	-	MA0018
19	16187164	+	MA0018
19	16187164	-	MA0018
19	16187191	+	MA0018
19	16187191	-	MA0018
19	16187213	+	MA0018
19	16187213	-	MA0018
19	16369386	+	MA0018
19	16369386	-	MA0018
19	16424036	+	MA0018
19	16424036	-	MA0018
19	17147046	+	MA0018
19	17147046	-	MA0018
19	17337283	+	MA0018
19	17337283	-	MA0018
19	17462886	+	MA0018
19	17462886	-	MA0018
19	17462905	+	MA0018
19	17462905	-	MA0018
19	17666352	+	MA0018
19	17666352	-	MA0018
19	17728330	+	MA0018
19	17728330	-	MA0018
19	17756597	+	MA0018
19	17756597	-	MA0018
19	17792500	+	MA0018
19	17792500	-	MA0018
19	17945341	+	MA0018
19	17945341	-	MA0018
19	17945401	+	MA0018
19	17945401	-	MA0018
19	18043818	+	MA0018
19	18043818	-	MA0018
19	18096434	+	MA0018
19	18096434	-	MA0018
19	18215364	+	MA0018
19	18215364	-	MA0018
19	18282589	+	MA0018
19	18282589	-	MA0018
19	18314893	+	MA0018
19	18314893	-	MA0018
19	18392628	+	MA0018
19	18392628	-	MA0018
19	18403090	+	MA0018
19	18403090	-	MA0018
19	18475946	+	MA0018
19	18475946	-	MA0018
19	18491365	+	MA0018
19	18491365	-	MA0018
19	18597430	+	MA0018
19	18597430	-	MA0018
19	18625813	+	MA0018
19	18625813	-	MA0018
19	18701418	+	MA0018
19	18701418	-	MA0018
19	19030480	+	MA0018
19	19030480	-	MA0018
19	19192850	+	MA0018
19	19192850	-	MA0018
19	19192861	+	MA0018
19	19192861	-	MA0018
19	19651439	+	MA0018
19	19651439	-	MA0018
19	21646307	+	MA0018
19	21646307	-	MA0018
19	21776985	+	MA0018
19	21776985	-	MA0018
19	21808219	+	MA0018
19	21808219	-	MA0018
19	29704111	+	MA0018
19	29704111	-	MA0018
19	30097138	+	MA0018
19	30097138	-	MA0018
19	30352630	+	MA0018
19	30352630	-	MA0018
19	30352674	+	MA0018
