chr	tss	strand	gene
1	3541566	+	TPRG1L
1	3569325	-	WRAP73
1	3569084	+	TP73
1	3668962	+	CCDC27
1	3689352	+	SMIM1
1	3713068	-	LRRC47
1	3773778	-	CEP104
1	3773845	+	DFFB
1	3816857	-	C1orf174
1	4714792	+	AJAP1
1	6052533	-	NPHP4
1	6051526	+	KCNAB2
1	6101399	-	AL035406.1
1	6240183	-	CHD5
1	6269449	-	RPL22
1	6265535	+	RNF207
1	6296032	-	ICMT
1	6304252	+	HES3
1	6321035	-	GPR153
1	6454451	-	ACOT7
1	6484730	-	HES2
1	6484848	+	ESPN
1	6526255	-	TNFRSF25
1	6580121	-	PLEKHG5
1	6614595	-	NOL9
1	6615241	+	TAS1R1
1	6640061	+	ZBTB48
1	6674667	-	KLHL21
1	6673745	+	PHF13
1	6684926	+	THAP3
1	6761984	-	DNAJC11
1	6845384	+	CAMTA1
1	7831329	+	VAMP3
1	7844380	+	PER3
1	7913572	-	UTS2
1	8000926	-	TNFRSF9
1	8014351	+	PARK7
1	8086368	-	ERRFI1
1	8377886	+	SLC45A1
1	8877702	-	RERE
1	8939308	-	ENO1
1	9005926	+	CA6
1	9086404	-	SLC2A7
1	9148537	-	SLC2A5
1	9189229	-	GPR157
1	9294834	+	H6PD
1	9352939	+	SPSB1
1	9599541	+	SLC25A33
1	9648932	+	TMEM201
1	9711790	+	PIK3CD
1	9714644	-	C1orf200
1	9884584	-	CLSTN1
1	9970394	-	CTNNBIP1
1	10003465	-	LZIC
1	10003486	+	NMNAT1
1	10057264	+	RBP7
1	10092890	+	UBE4B
1	10270863	+	KIF1B
1	10458649	+	PGD
1	10490159	+	APITD1
1	10490159	+	APITD1-CORT
1	10509776	+	CORT
1	10532583	-	DFFA
1	10532345	+	PEX14
1	10856707	-	CASZ1
1	11042094	-	C1orf127
1	11072414	+	TARDBP
1	11107290	-	MASP2
1	11120081	-	SRM
1	11159938	-	EXOSC10
1	11322564	-	MTOR
1	11249398	+	ANGPTL7
1	11333263	+	UBIAD1
1	11539223	+	PTCHD2
1	11715842	-	FBXO2
1	11714432	+	FBXO44
1	11724181	+	FBXO6
1	11751707	-	MAD2L2
1	11751786	+	DRAXIN
1	11796141	+	AGTRAP
1	11821844	+	C1orf167
1	11866977	-	MTHFR
1	11866207	+	CLCN6
1	11908402	-	NPPA
1	11918988	-	NPPB
1	11986485	-	KIAA2013
1	11994262	+	PLOD1
1	12040238	+	MFN2
1	12079523	+	MIIP
1	12123434	+	TNFRSF8
1	12227060	+	TNFRSF1B
1	12290124	+	VPS13D
1	12677737	-	DHRS3
1	12704566	+	AADACL4
1	12776118	+	AADACL3
1	12806163	+	C1orf158
1	12834984	+	PRAMEF12
1	12851546	+	PRAMEF1
1	12891264	-	PRAMEF11
1	12908578	-	HNRNPCL1
1	12916941	+	PRAMEF2
1	12946025	-	PRAMEF4
1	12958101	-	PRAMEF10
1	12976450	+	PRAMEF7
1	13117751	-	PRAMEF6
1	13035543	+	PRAMEF22
1	13052998	-	WI2-3308P17.2
1	13219581	-	PRAMEF26
1	13331692	-	PRAMEF3
1	13359819	+	PRAMEF5
1	13390765	-	PRAMEF8
1	13421176	+	PRAMEF9
1	13452656	-	PRAMEF13
1	13477522	-	PRAMEF18
1	13495254	+	PRAMEF16
1	13516066	+	PRAMEF21
1	13641973	+	PRAMEF15
1	13673511	-	PRAMEF14
1	13698405	-	PRAMEF19
1	13716092	+	PRAMEF17
1	13736907	+	PRAMEF20
1	13840543	-	LRRC38
1	13909960	+	PDPN
1	14026693	+	PRDM2
1	14925200	+	KAZN
1	15479028	+	TMEM51
1	15497813	-	C1orf195
1	15573768	+	FHAD1
1	15736391	+	EFHD2
1	15764935	+	CTRC
1	15783223	+	CELA2A
1	15792404	+	CELA2B
1	15853029	-	CASP9
1	15853308	+	DNAJC16
1	15911605	-	AGMAT
1	15943995	+	DDI2
1	15986364	+	RSC1A1
1	16010827	+	PLEKHM2
1	16062900	+	SLC25A34
1	16068917	+	TMEM82
1	16083102	+	FBLIM1
1	16174359	+	SPEN
1	16302627	-	ZBTB17
1	16330731	+	C1orf64
1	16346089	-	HSPB7
1	16345370	+	CLCNKA
1	16370272	+	CLCNKB
1	16400127	-	FAM131C
1	16482582	-	EPHA2
1	16539104	-	ARHGEF19
1	16556038	-	C1orf134
1	16563657	-	RSG1
1	16678949	-	FBXO42
1	16679070	+	SZRD1
1	16763919	-	SPATA21
1	16767167	+	NECAP2
1	16865561	+	FAM231B
1	16940057	-	NBPF1
1	16999498	+	FAM231A
1	17060956	-	FAM231C
1	17066768	+	CROCC
1	17307330	-	MFAP2
1	17338423	-	ATP13A2
1	17380665	-	SDHB
1	17445948	-	PADI2
1	17531621	+	PADI1
1	17575593	+	PADI3
1	17634690	+	PADI4
1	17676070	-	AC004824.2
1	17766220	-	RCC2
1	17866330	+	ARHGEF10L
1	18081808	+	ACTL8
1	18434240	+	IGSF21
1	18807424	+	KLHDC7A
1	18957500	+	PAX7
1	19186176	-	TAS1R2
1	19247615	-	RP13-279N23.2
1	19229275	-	ALDH4A1
1	19283180	-	IFFO2
1	19536770	-	UBR4
1	19578046	-	EMC1
1	19578033	+	MRTO4
1	19615744	-	AKR7A3
1	19638640	-	AKR7A2
1	19638820	+	PQLC2
1	19812066	-	CAPZB
1	19923473	+	MINOS1-NBL1
1	19923477	+	MINOS1
1	19967048	+	NBL1
1	19991780	+	HTR6
1	20126438	-	TMCO4
1	20141771	-	RNF186
1	20209006	+	OTUD3
1	20250110	-	PLA2G2E
1	20306932	-	PLA2G2A
1	20354672	+	PLA2G5
1	20446050	-	PLA2G2D
1	20465819	+	PLA2G2F
1	20503917	-	PLA2G2C
1	20512578	+	UBXN10
1	20617412	+	VWA5B1
1	20812713	-	CAMK2N1
1	20834654	-	MUL1
1	20878932	+	FAM43B
1	20915441	+	CDA
1	20959948	+	PINK1
1	20988000	-	DDOST
1	21044510	-	KIF17
1	21059330	-	SH2D5
1	21113816	-	HP1BP3
1	21503377	-	EIF4G3
1	21671997	-	ECE1
1	21766621	+	NBPF3
1	21835858	+	ALPL
1	21995801	-	RAP1GAP
1	22110099	-	USP48
1	22138758	+	LDLRAD2
1	22263790	-	HSPG2
1	22303514	+	CELA3B
1	22328149	+	CELA3A
1	22379120	+	CDC42
1	22470462	-	WNT4
1	22778344	+	ZBTB40
1	22890057	+	EPHA8
1	22962999	+	C1QA
1	22970123	+	C1QC
1	22979255	+	C1QB
1	23037332	+	EPHB2
1	23291831	-	LACTBL1
1	23342343	-	C1orf234
1	23345941	+	KDM1A
1	23504301	-	LUZP1
1	23521222	-	HTR1D
1	23670829	-	HNRNPR
1	23695935	-	ZNF436
1	23695490	+	C1orf213
1	23751233	-	TCEA3
1	23811061	-	ASAP3
1	23857712	-	E2F2
1	23886285	-	ID3
1	23907985	+	MDS2
1	24018269	+	RPL11
1	24069645	+	TCEB3
1	24104895	+	PITHD1
1	24117460	+	LYPLA2
1	24127271	-	GALE
1	24165110	-	HMGCL
1	24194784	-	FUCA1
1	24285549	-	CNR2
1	24285599	+	PNRC2
1	24307417	-	SRSF10
1	24438665	-	MYOM3
1	24469611	-	IL22RA1
1	24514449	-	IFNLR1
1	24645812	+	GRHL3
1	24743424	-	STPG1
1	24742284	+	NIPAL3
1	24829387	+	RCAN3
1	24882602	+	NCMAP
1	24958207	+	SRRM1
1	25071848	+	CLIC4
1	25291612	-	RUNX3
1	25558993	-	SYF2
1	25664704	-	C1orf63
1	25598884	+	RHD
1	25664408	+	TMEM50A
1	25756683	-	RHCE
1	25757388	+	TMEM57
1	25870071	+	LDLRAP1
1	25943959	+	MAN1C1
1	26126667	+	SEPN1
1	26137961	+	RP1-317E23.6
1	26145131	+	MTFR1L
1	26147288	-	AL020996.1
1	26185903	-	AUNIP
1	26197744	-	PAQR7
1	26233482	-	STMN1
1	26324648	-	PAFAH2
1	26346375	+	EXTL1
1	26372624	-	SLC30A2
1	26394927	-	TRIM63
1	26437664	+	PDIK1L
1	26485511	+	FAM110D
1	26496362	+	ZNF593
1	26503894	+	CNKSR1
1	26517052	+	CATSPER4
1	26560691	+	CEP85
1	26605667	+	SH3BGRL3
1	26644854	-	UBXN11
1	26644448	+	CD52
1	26680621	-	AIM1L
1	26701013	-	ZNF683
1	26737269	+	LIN28A
1	26758773	+	DHDDS
1	26798941	+	HMGN2
1	26856252	+	RPS6KA1
1	27022524	+	ARID1A
1	27113963	+	PIGV
1	27153201	+	ZDHHC18
1	27189633	+	SFN
1	27216788	-	GPN2
1	27226957	-	GPATCH3
1	27226729	+	NUDC
1	27240457	-	NR0B2
1	27286897	-	C1orf172
1	27320198	+	TRNP1
1	27339327	-	FAM46B
1	27493472	-	SLC9A1
1	27561007	+	WDTC1
1	27648651	+	TMEM222
1	27668513	+	SYTL1
1	27693383	-	MAP3K6
1	27701315	-	FCN3
1	27709870	-	CD164L2
1	27719148	+	GPR3
1	27816669	-	WASF2
1	27930942	-	AHDC1
1	27961788	-	FGR
1	27998729	-	IFI6
1	28052490	+	FAM76A
1	28099694	+	STX12
1	28157289	+	PPP1R8
1	28177255	-	AL109927.1
1	28199055	+	THEMIS2
1	28241257	-	RPA2
1	28261504	+	SMPDL3B
1	28285973	+	XKR8
1	28415207	-	EYA3
1	28520447	-	PTAFR
1	28559536	-	DNAJC8
1	28527152	-	AL353354.1
1	28527070	+	AL353354.2
1	28562620	+	ATPIF1
1	28586038	+	SESN2
1	28655513	+	MED18
1	28696114	+	PHACTR4
1	28832455	+	RCC1
1	28879597	+	TRNAU1AP
1	28969597	-	TAF12
1	28918712	+	RAB42
1	28995244	+	GMEB1
1	29063133	+	YTHDF2
1	29138654	+	OPRD1
1	29213603	+	EPB41
1	29450447	-	TMEM200B
1	29508499	-	SRSF4
1	29557454	-	MECR
1	29563028	+	PTPRU
1	31196434	-	MATN1
1	31230667	-	LAPTM5
1	31381608	-	SDC3
1	31538838	-	PUM1
1	31712401	-	NKAIN1
1	31769662	-	SNRNP40
1	31769842	+	ZCCHC17
1	31849697	-	FABP3
1	31882412	+	SERINC2
1	31902614	-	AC114494.1
1	32042116	+	TINAGL1
1	32083287	+	HCRTR1
1	32110497	-	PEF1
1	32169920	-	COL16A1
1	32230494	-	BAI2
1	32281652	-	SPOCD1
1	32410457	-	PTP4A2
1	32379174	+	AL136115.1
1	32479430	+	KHDRBS1
1	32537632	+	TMEM39B
1	32573639	+	KPNA6
1	32645287	+	TXLNA
1	32665987	+	CCDC28B
1	32671236	+	IQCC
1	32674695	+	DCDC2B
1	32687972	-	TMEM234
1	32687529	+	EIF3I
1	32712834	+	FAM167B
1	32716840	+	LCK
1	32757687	+	HDAC1
1	32801980	-	MARCKSL1
1	32817122	+	TSSK3
1	32829879	-	FAM229A
1	32860332	-	BSDC1
1	32930658	+	RP1-27O5.3
1	32930670	+	ZBTB8B
1	33005028	+	ZBTB8A
1	33116504	-	ZBTB8OS
1	33116743	+	RBBP4
1	33169197	-	SYNC
1	33207486	+	KIAA1522
1	33283754	-	YARS
1	33282368	+	S100PBP
1	33338083	-	FNDC5
1	33351595	+	HPCA
1	33367039	-	TMEM54
1	33430286	-	RNF19B
1	33439268	+	FKSG48
1	33546597	-	AK2
1	33546705	+	ADC
1	33647660	-	TRIM62
1	33722146	+	ZNF362
1	33786699	-	A3GALT2
1	33896653	-	PHC2
1	33938246	+	ZSCAN20
1	34631443	-	CSMD2
1	34326076	+	HMGB4
1	34632484	+	C1orf94
1	35325417	-	SMIM12
1	35220648	+	GJB5
1	35225342	+	GJB4
1	35246790	+	GJB3
1	35258599	+	GJA4
1	35395186	-	DLGAP3
1	35497342	-	RP11-244H3.4
1	35450954	-	ZMYM6NB
1	35497569	-	ZMYM6
1	35525387	+	ZMYM1
1	35658749	-	SFPQ
1	35734568	+	ZMYM4
1	36023551	-	KIAA0319L
1	36023074	+	NCDN
1	36038971	+	TFAP2E
1	36107445	-	PSMB2
1	36185073	-	C1orf216
1	36235568	-	CLSPN
1	36273773	+	AGO4
1	36335409	+	AGO1
1	36396319	+	AGO3
1	36549676	+	TEKT2
1	36554476	+	ADPRHL2
1	36590821	-	COL8A2
1	36615098	-	TRAPPC3
1	36621180	+	MAP7D1
1	36690017	+	THRAP3
1	36771988	+	SH3D21
1	36789755	-	EVA1B
1	36789335	+	RP11-268J15.5
1	36851497	-	STK40
1	36863493	-	LSM10
1	36916086	-	OSCP1
1	36930038	-	MRPS15
1	36948879	-	CSF3R
1	37499730	-	GRIK3
1	37940153	+	ZC3H12A
1	37980375	-	MEAF6
1	38019903	-	SNIP1
1	38022520	+	DNALI1
1	38061536	-	GNL2
1	38100595	-	RSPO1
1	38157914	-	C1orf109
1	38158090	+	CDCA8
1	38230805	-	EPHA10
1	38259474	+	MANEAL
1	38273857	-	YRDC
1	38272651	+	C1orf122
1	38325292	-	MTF1
1	38293886	-	AL929472.1
1	38412729	-	INPP5B
1	38456593	-	SF3A3
1	38471278	-	FHL3
1	38474930	+	UTP11L
1	38512450	-	POU3F1
1	39325495	-	RRAGC
1	39347289	-	MYCBP
1	39347289	-	GJA9
1	39407471	-	RHBDL2
1	39456895	+	AKIRIN1
1	39491990	+	NDUFS5
1	39546988	+	MACF1
1	39876151	+	KIAA0754
1	39957318	+	BMP8A
1	40042462	-	PABPC4
1	40105617	-	HEYL
1	40137710	-	NT5C1A
1	40157361	-	HPCAL4
1	40157854	+	PPIE
1	40254533	-	BMP8B
1	40237020	-	OXCT2
1	40349183	-	TRIT1
1	40367928	-	MYCL
1	40420802	+	MFSD2A
1	40505905	+	CAP1
1	40563375	-	PPT1
1	40627045	+	RLF
1	40711619	+	TMCO2
1	40723779	+	ZMPSTE24
1	40783488	-	COL9A2
1	40810522	+	SMAP2
1	40915774	+	ZFP69B
1	40942887	+	ZFP69
1	40974413	+	EXO5
1	40997233	+	ZNF684
1	41131329	-	RIMS3
1	41157320	+	NFYC
1	41249684	+	KCNQ4
1	41328018	-	CITED4
1	41445007	+	CTPS1
1	41488909	-	SLFNL1
1	41707826	-	SCMH1
1	41827594	+	FOXO6
1	41950344	-	EDN2
1	42501596	-	HIVEP3
1	42619092	+	GUCA2B
1	42630389	-	GUCA2A
1	42801548	-	FOXJ3
1	42846466	+	RIMKLA
1	42921938	-	ZMYND12
1	42921788	+	PPCS
1	42929001	+	CCDC30
1	43124096	+	PPIH
1	43148098	+	YBX1
1	43205925	-	CLDN19
1	43232755	-	LEPRE1
1	43232940	+	C1orf50
1	43282954	-	CCDC23
1	43282795	+	ERMAP
1	43312280	+	ZNF691
1	43424530	-	SLC2A1
1	43610824	+	FAM183A
1	43736607	-	EBNA1BP2
1	43637820	+	WDR65
1	43735665	+	TMEM125
1	43751288	-	C1orf210
1	43766664	+	TIE1
1	43803478	+	MPL
1	43824626	+	CDC20
1	43833696	-	ELOVL1
1	43855479	-	MED8
1	43855553	+	SZT2
1	43919660	-	HYI
1	43990858	+	PTPRF
1	44115829	+	KDM4A
1	44171495	+	ST3GAL3
1	44398992	+	ARTN
1	44412611	+	IPO13
1	44435672	+	DPH2
1	44440159	+	ATP6V0B
1	44444615	+	B4GALT2
1	44457031	+	CCDC24
1	44497139	-	SLC6A9
1	44584522	+	KLF17
1	44679127	+	DMAP1
1	44820932	-	ERI3
1	44870866	+	RNF220
1	45140227	-	TMEM53
1	45140364	+	C1orf228
1	45205490	+	KIF2C
1	45240923	+	RPS8
1	45253377	-	BEST4
1	45265897	+	PLK3
1	45272957	-	TCTEX1D4
1	45274154	+	BTBD19
1	45308735	-	PTCH2
1	45452282	-	EIF2B3
1	45477001	-	HECTD3
1	45477819	+	UROD
1	45771881	-	ZSWIM5
1	45792545	+	HPDL
1	45806142	-	MUTYH
1	45805342	+	TOE1
1	45956872	-	TESK2
1	45965751	-	CCDC163P
1	45965725	+	MMACHC
1	45988719	-	PRDX1
1	46016215	+	AKR1A1
1	46049518	+	NASP
1	46089729	-	CCDC17
1	46153785	-	GPBP1L1
1	46152886	+	TMEM69
1	46216322	-	IPP
1	46252659	+	MAST2
1	46642160	-	PIK3R3
1	46640745	+	TSPAN1
1	46685977	-	POMGNT1
1	46669006	+	LURAP1
1	46713360	+	RAD54L
1	46769280	-	LRRC41
1	46769303	+	UQCRH
1	46805849	+	NSUN4
1	46859937	+	FAAH
1	46972668	+	DMBX1
1	47017199	-	KNCN
1	47082515	-	MKNK1
1	47082563	-	MOB3C
1	47139539	-	ATPAF1
1	47184824	-	EFCAB14
1	47134527	+	TEX38
1	47223510	+	CYP4B1
1	47407156	-	CYP4A11
1	47427036	+	CYP4X1
1	47533160	+	CYP4Z1
1	47603107	+	CYP4A22
1	47656716	-	PDZK1IP1
1	47697892	-	TAL1
1	47779819	-	STIL
1	47799469	+	CMPK1
1	47881744	+	FOXE3
1	47901689	+	FOXD2
1	48462567	-	TRABD2B
1	48227290	-	FLJ00388
1	48569306	+	AL109659.1
1	48688357	+	SLC5A9
1	48937845	-	SPATA6
1	50489585	-	AGBL4
1	49242641	-	BEND5
1	50459990	+	AL645730.2
1	50513686	+	ELAVL4
1	50889172	-	DMRTA2
1	51425935	-	FAF1
1	51426417	+	CDKN2C
1	51567906	+	C1orf185
1	51701943	+	RNF11
1	51810788	-	TTC39A
1	51985000	-	EPS15
1	52042851	+	OSBPL9
1	52344477	-	NRD1
1	52456436	-	RAB3B
1	52521843	-	TXNDC12
1	52499488	-	KTI12
1	52521797	+	BTF3L4
1	52608046	+	ZFYVE9
1	52831865	-	CC2D1B
1	52870131	-	ORC1
1	52870236	+	PRPF38A
1	53019159	-	ZCCHC11
1	53068044	+	GPX7
1	53099016	+	FAM159A
1	53164038	-	COA7
1	53192126	+	ZYG11B
1	53308183	+	ZYG11A
1	53392884	-	ECHDC2
1	53392901	+	SCP2
1	53527854	+	PODN
1	53608289	-	SLC1A7
1	53662101	+	CPT2
1	53686289	-	C1orf123
1	53704282	-	MAGOH
1	53793742	-	LRP8
1	53925072	+	DMRTB1
1	54199877	-	GLIS1
1	54304533	-	NDC1
1	54356407	-	YIPF1
1	54356912	+	DIO1
1	54411602	-	HSPB11
1	54411750	+	LRRC42
1	54483856	-	LDLRAD1
1	54519177	-	TMEM59
1	54519260	+	TCEANC2
1	54569968	+	AL161915.1
1	54619443	-	CDCP2
1	54665746	-	RP11-446E24.4
1	54637997	-	AL357673.1
1	54665709	-	CYB5RL
1	54649714	+	MRPL37
1	54879152	-	SSBP3
1	54703710	+	SSBP3-AS1
1	55007930	+	ACOT11
1	55089229	-	FAM151A
1	55107459	+	MROH7-TTC4
1	55107463	+	MROH7
1	55181495	+	TTC4
1	55230187	-	PARS2
1	55266940	-	TTC22
1	55271736	+	C1orf177
1	55352891	-	DHCR24
1	55446465	+	TMEM61
1	55464606	+	BSND
1	55505221	+	PCSK9
1	55680786	-	USP24
1	57110974	-	PPAP2B
1	57110995	+	PRKAA2
1	57285369	-	C1orf168
1	57320479	+	C8A
1	57431813	-	C8B
1	59012406	-	DAB1
1	59012474	-	OMA1
1	59043166	-	TACSTD2
1	59165764	-	MYSM1
1	59249785	-	JUN
1	59762310	+	FGGY
1	60280458	+	HOOK1
1	60392462	-	CYP2J2
1	60539442	-	C1orf87
1	61330931	+	NFIA
1	62191095	-	TM2D1
1	62208149	+	INADL
1	62660503	+	L1TD1
1	62785085	-	KANK4
1	62901968	+	USP1
1	63153969	-	DOCK7
1	63063158	+	ANGPTL3
1	63073437	+	AL138847.1
1	63249806	+	ATG4C
1	63788730	+	FOXD3
1	63833261	+	ALG6
1	64059392	-	ITGB3BP
1	63989043	+	EFCAB7
1	64014588	+	DLEU2L
1	64058947	+	PGM1
1	64239693	+	ROR1
1	64669310	+	UBE2U
1	64936428	+	CACHD1
1	65210778	+	RAVER2
1	65432187	-	JAK1
1	65613232	+	AK4
1	65713902	+	DNAJC6
1	65886248	+	LEPR
1	65886270	+	LEPROT
1	66258197	+	PDE4B
1	66999066	+	SGIP1
1	67142710	-	AL139147.1
1	67218142	+	TCTEX1D1
1	67266939	-	INSL5
1	67390570	-	WDR78
1	67390578	+	MIER1
1	67519782	-	SLC35D1
1	67697536	-	C1orf141
1	67632083	+	IL23R
1	67773047	+	IL12RB2
1	67896098	-	SERBP1
1	68150744	+	GADD45A
1	68299150	-	GNG12
1	68517314	-	DIRAS3
1	68698803	-	WLS
1	68915642	-	RPE65
1	68962904	-	DEPDC1
1	70034081	+	LRRC7
1	70671303	-	LRRC40
1	70671365	+	SRSF11
1	70820417	-	ANKRD13C
1	70820488	+	HHLA3
1	70876901	+	CTH
1	71513491	-	PTGER3
1	71546980	-	ZRANB2
1	72748417	-	NEGR1
1	74663871	-	LRRIQ3
1	74663896	+	FPGT
1	74663919	+	FPGT-TNNI3K
1	74663947	+	TNNI3K
1	74978298	-	LRRC53
1	75139422	-	C1orf173
1	75199092	-	CRYZ
1	75198836	+	TYW3
1	75594119	+	LHX8
1	76076801	-	SLC44A5
1	76190036	+	ACADM
1	76251879	+	RABGGTB
1	76262567	+	MSH4
1	76398116	-	ASB17
1	76540404	+	ST6GALNAC3
1	77333126	+	ST6GALNAC5
1	77685115	-	PIGK
1	77747736	+	AK5
1	78149104	-	ZZZ3
1	78225537	-	USP33
1	78245309	+	FAM73A
1	78354198	+	NEXN
1	78444794	-	FUBP1
1	78444859	+	DNAJB4
1	78445226	+	GIPC2
1	78769568	+	PTGFR
1	79085607	+	IFI44L
1	79115481	+	IFI44
1	79472403	-	ELTD1
1	81771845	+	LPHN2
1	84464833	-	TTLL7
1	84543745	+	PRKACB
1	84764049	+	SAMD13
1	84864215	+	DNASE2B
1	84944942	+	RPF1
1	84972248	-	GNG5
1	85040163	-	CTBS
1	85100703	-	C1orf180
1	85156486	-	SSX2IP
1	85358896	-	LPAR3
1	85462796	-	MCOLN2
1	85464830	+	WDR63
1	85514182	-	MCOLN3
1	85666729	-	SYDE2
1	85725355	-	C1orf52
1	85742773	-	BCL10
1	86043933	-	DDAH1
1	86046444	+	CYR61
1	86174116	-	ZNHIT6
1	86622626	-	COL24A1
1	86862023	-	ODF2L
1	86889769	+	CLCA2
1	86934051	+	CLCA1
1	87012761	+	CLCA4
1	87170259	+	SH3GLB1
1	87380107	-	SEP15
1	87380331	+	HS2ST1
1	87458692	+	RP5-1052I5.2
1	87794151	+	LMO4
1	89149905	+	PKN2
1	89357627	-	GTF2B
1	89458636	-	CCBL2
1	89458643	-	RBMXL1
1	89488577	-	GBP3
1	89531043	-	GBP1
1	89616139	-	GBP2
1	89641723	-	GBP7
1	89664615	-	GBP4
1	89738544	-	GBP5
1	89829617	+	GBP6
1	89990395	+	LRRC8B
1	90098631	+	LRRC8C
1	90098699	+	RP11-302M6.4
1	90286573	+	LRRC8D
1	90460671	+	ZNF326
1	91182794	-	BARHL2
1	91487829	-	ZNF644
1	91870426	-	HFM1
1	91966408	+	CDC7
1	92371892	-	TGFBR3
1	92414928	+	BRDT
1	92495539	+	EPHX4
1	92545862	+	BTBD8
1	92632542	+	KIAA1107
1	92683497	+	C1orf146
1	92764544	-	GLMN
1	92764522	+	RPAP2
1	92952433	-	GFI1
1	93257961	-	EVI5
1	93297582	+	RPL5
1	93427057	-	FAM69A
1	93544792	+	MTF2
1	93646285	-	TMED5
1	93645476	+	CCDC18
1	93811445	+	DR1
1	93913688	+	FNBP1L
1	94312706	-	BCAR3
1	94345474	-	DNTTIP2
1	94374966	-	GCLM
1	94586688	-	ABCA4
1	94740624	-	ARHGAP29
1	94883933	+	ABCD3
1	95007356	-	F3
1	95285898	+	SLC44A3
1	95392834	-	CNN3
1	95538501	-	ALG14
1	95582894	+	TMEM56
1	95583479	+	TMEM56-RWDD3
1	95699711	+	RWDD3
1	96403457	+	RP11-147C23.1
1	97187221	+	PTBP2
1	98386605	-	DPYD
1	99127236	+	SNX7
1	99470588	-	LPPR5
1	99729509	+	LPPR4
1	100111499	+	PALMD
1	100232187	-	FRRS1
1	100315640	+	AGL
1	100435345	+	SLC35A3
1	100503653	+	HIAT1
1	100598511	-	SASS6
1	100598706	+	TRMT13
1	100643771	-	LRRC39
1	100715390	-	DBT
1	100731763	+	RTCA
1	100810584	+	CDC14A
1	101003693	+	GPR88
1	101185298	+	VCAM1
1	101361554	-	EXTL2
1	101361632	+	SLC30A7
1	101491644	-	DPH5
1	101455761	+	AC093157.1
1	101702444	+	S1PR1
1	102462586	-	OLFM3
1	103574052	-	COL11A1
1	104068313	+	RNPC3
1	104096437	+	AMY2B
1	104159999	+	AMY2A
1	104197912	+	AMY1A
1	104239302	-	AMY1B
1	104293028	+	AMY1C
1	107599267	+	PRMT6
1	107682629	+	NTNG1
1	108507766	-	VAV3
1	108743471	-	SLC25A24
1	108786689	-	NBPF4
1	108918421	+	NBPF6
1	109102711	+	FAM102B
1	109204148	-	HENMT1
1	109234945	+	PRPF38B
1	109255279	+	FNDC7
1	109289296	+	STXBP3
1	109506106	-	AKNAD1
1	109417972	+	GPSM2
1	109506111	-	CLCC1
1	109584850	-	WDR47
1	109618624	-	TAF13
1	109632425	+	TMEM167B
1	109656479	-	C1orf194
1	109656301	+	KIAA1324
1	109756540	+	SARS
1	109792641	+	CELSR2
1	109825808	-	PSRC1
1	109849663	-	MYBPHL
1	109940573	-	SORT1
1	109969062	-	PSMA5
1	110009180	+	SYPL2
1	110026101	+	ATXN7L2
1	110036674	+	CYB561D1
1	110052360	-	AMIGO1
1	110082494	+	GPR61
1	110091233	+	GNAI3
1	110155679	-	GNAT2
1	110158726	+	AMPD2
1	110198703	+	GSTM4
1	110210644	+	GSTM2
1	110230436	+	GSTM1
